timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
2850643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12341e-10,4.59567e-06,0.000328914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3054589,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99934e-10,6.15201e-06,0.000299794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3258577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80161e-10,8.16675e-06,0.000337599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3458842,0.788723,-0.0220282,0.00317003,-0.614345,0.0,0.0,-0.0020143,0.0,0.0,-8.06425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,3.98406e-10,8.86307e-06,0.000324694,0.000944851,0.00215476,0.00215551,0.0015561,25.0,25.0,0.56251,0.249374,0.249374,4.00004,6.4e-07,6.4e-07,6.4e-07,2.56e-06,2.56e-06,2.56e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3662763,0.787953,-0.0225346,0.00283674,-0.615317,0.00130109,-0.000381223,-0.0344028,-9.67644e-06,-9.54009e-06,0.208114,-3.16858e-09,-2.42441e-07,6.24889e-06,-1.7233e-08,2.59522e-08,-7.25749e-07,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,4.07926e-10,8.72187e-06,0.000307511,0.000521228,0.00226169,0.00226272,0.000861357,5.02655,5.02655,0.561159,0.0751789,0.0751789,0.405692,6.39998e-07,6.39989e-07,6.34006e-07,2.55996e-06,2.55996e-06,2.55999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0152113,0.0,2.31244e-07,0.0225094,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3866852,0.786489,-0.0230316,0.00252298,-0.61717,0.000697346,-0.00207155,-0.0634278,-5.8269e-05,-0.000172195,0.270899,-3.30851e-08,-1.24789e-06,3.18738e-05,-4.49634e-08,9.69706e-08,-2.63198e-06,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,5.29791e-10,1.04101e-05,0.000366872,0.000408588,0.00257517,0.00257653,0.000675749,0.849511,0.849528,0.54649,0.0469365,0.0469366,0.23325,6.39882e-07,6.39833e-07,6.07729e-07,2.55947e-06,2.55947e-06,2.55965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0258626,0.0,3.8213e-06,0.00245504,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4067577,0.785898,-0.0235256,0.00218888,-0.617904,-0.000644208,-0.00686088,-0.146915,-6.21251e-05,-0.000518871,0.192179,-1.04044e-07,-2.2364e-06,5.49239e-05,2.4067e-07,-2.42422e-07,5.32594e-06,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,5.09812e-10,1.03232e-05,0.000516109,0.000365647,0.0030298,0.00303166,0.000602357,0.36858,0.36862,0.510972,0.0342613,0.0342617,0.189149,6.38499e-07,6.38363e-07,5.49841e-07,2.55728e-06,2.55728e-06,2.55786e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0258177,0.0,1.11773e-05,0.034306,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4273270,0.784504,-0.0239191,0.00191311,-0.61966,-0.00117284,-0.0130058,-0.16064,-4.87926e-05,-0.00134922,0.197613,-3.22922e-07,-4.24616e-06,9.46128e-05,4.67503e-07,-2.50339e-08,-2.87591e-06,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,4.73523e-10,1.00311e-05,0.000645238,0.000370115,0.00350784,0.00351032,0.000605234,0.314296,0.314364,0.456707,0.0299425,0.0299439,0.181384,6.3103e-07,6.3079e-07,4.78598e-07,2.55097e-06,2.55097e-06,2.55279e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00967543,0.0,2.43396e-05,0.00479827,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4475500,0.78398,-0.0241074,0.00179557,-0.620315,-0.00172843,-0.0167659,-0.142475,-0.000115356,-0.00219202,0.225854,-9.25106e-07,-6.72437e-06,0.000108907,1.25407e-06,5.20802e-07,-2.68805e-05,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,4.39264e-10,9.51615e-06,0.00061418,0.000379895,0.00364779,0.00365075,0.000615751,0.329919,0.329993,0.381854,0.0265512,0.0265532,0.175401,6.01538e-07,6.01207e-07,4.0039e-07,2.53668e-06,2.53668e-06,2.54066e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00140224,0.0,4.63501e-05,0.0110889,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4679560,0.783171,-0.0240825,0.00177092,-0.621337,-0.0021179,-0.019603,-0.119223,-0.000237098,-0.00307984,0.266976,-2.08448e-06,-1.10115e-05,0.000126567,2.45518e-06,1.17273e-06,-5.86911e-05,0.5903,0.0118035,0.88988,0.0,0.0,0.0,0.0,0.0,0.0,4.25236e-10,9.40285e-06,0.000462905,0.000376332,0.00345362,0.00345672,0.000604801,0.369867,0.369925,0.317188,0.0298843,0.0298868,0.180899,5.48302e-07,5.47907e-07,3.19338e-07,2.5214e-06,2.52139e-06,2.52254e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00843775,0.0,5.88976e-05,0.0156015,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
