timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
3771525,3417197,0,3735928559,354.328,255,0
4426393,4417067,1,3735928559,9.326,255,0
5446514,5417098,2,3735928559,29.416,255,0
