timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
3302627,5.23198,0.0,0,0,1,0,0,0,0
3802628,5.24004,0.0,0,0,1,0,0,0,0
4312628,5.21909,0.0,0,0,1,0,0,0,0
4812627,5.21426,0.0,0,0,1,0,0,0,0
5322666,5.22231,0.0,0,0,1,0,0,0,0
5822627,5.25132,0.0,0,0,1,0,0,0,0
6322627,5.21265,0.0,0,0,1,0,0,0,0
6822627,5.2626,0.0,0,0,1,0,0,0,0
7322636,5.29644,0.0,0,0,1,0,0,0,0
7822627,5.28838,0.0,0,0,1,0,0,0,0
8332634,5.2626,0.0,0,0,1,0,0,0,0
8832627,5.24971,0.0,0,0,1,0,0,0,0
9332627,5.23843,0.0,0,0,1,0,0,0,0
10332660,5.23521,0.0,0,0,1,0,0,0,0
10842627,5.2207,0.0,0,0,1,0,0,0,0
11342667,5.24971,0.0,0,0,1,0,0,0,0
11842627,5.26099,0.0,0,0,1,0,0,0,0
12342627,5.21587,0.0,0,0,1,0,0,0,0
12842627,5.2916,0.0,0,0,1,0,0,0,0
13342627,5.28032,0.0,0,0,1,0,0,0,0
13852627,5.24487,0.0,0,0,1,0,0,0,0
14352668,5.24648,0.0,0,0,1,0,0,0,0
14852667,5.2481,0.0,0,0,1,0,0,0,0
15352627,5.2207,0.0,0,0,1,0,0,0,0
15852627,5.24648,0.0,0,0,1,0,0,0,0
16352636,5.2481,0.0,0,0,1,0,0,0,0
16862674,5.21587,0.0,0,0,1,0,0,0,0
17362667,5.24165,0.0,0,0,1,0,0,0,0
17862627,5.29321,0.0,0,0,1,0,0,0,0
18362627,5.27227,0.0,0,0,1,0,0,0,0
18862632,5.25615,0.0,0,0,1,0,0,0,0
19362648,5.29644,0.0,0,0,1,0,0,0,0
19872635,5.26099,0.0,0,0,1,0,0,0,0
20372636,5.2481,0.0,0,0,1,0,0,0,0
20872659,5.23843,0.0,0,0,1,0,0,0,0
21372627,5.24326,0.0,0,0,1,0,0,0,0
21872627,5.21748,0.0,0,0,1,0,0,0,0
22372627,5.25454,0.0,0,0,1,0,0,0,0
22882666,5.2481,0.0,0,0,1,0,0,0,0
23382630,5.22554,0.0,0,0,1,0,0,0,0
23882632,5.2481,0.0,0,0,1,0,0,0,0
24382627,5.29805,0.0,0,0,1,0,0,0,0
24882635,5.24971,0.0,0,0,1,0,0,0,0
25392637,5.28032,0.0,0,0,1,0,0,0,0
25892650,5.28355,0.0,0,0,1,0,0,0,0
26392673,5.22231,0.0,0,0,1,0,0,0,0
26892646,5.21748,0.0,0,0,1,0,0,0,0
27392627,5.24971,0.0,0,0,1,0,0,0,0
27892627,5.22393,0.0,0,0,1,0,0,0,0
28392671,5.20942,0.0,0,0,1,0,0,0,0
28892627,5.25132,0.0,0,0,1,0,0,0,0
29402661,5.2481,0.0,0,0,1,0,0,0,0
29902654,5.23359,0.0,0,0,1,0,0,0,0
30402627,5.28838,0.0,0,0,1,0,0,0,0
30902627,5.24648,0.0,0,0,1,0,0,0,0
31402628,5.24165,0.0,0,0,1,0,0,0,0
31902627,5.24648,0.0,0,0,1,0,0,0,0
32402661,5.2481,0.0,0,0,1,0,0,0,0
32902675,5.21587,0.0,0,0,1,0,0,0,0
33402627,5.21748,0.0,0,0,1,0,0,0,0
33902627,5.2481,0.0,0,0,1,0,0,0,0
34402627,5.2481,0.0,0,0,1,0,0,0,0
34902687,5.22876,0.0,0,0,1,0,0,0,0
35402627,5.25132,0.0,0,0,1,0,0,0,0
35912661,5.2207,0.0,0,0,1,0,0,0,0
36412650,5.2481,0.0,0,0,1,0,0,0,0
36912627,5.25454,0.0,0,0,1,0,0,0,0
37412627,5.23682,0.0,0,0,1,0,0,0,0
37912627,5.22554,0.0,0,0,1,0,0,0,0
38412632,5.25293,0.0,0,0,1,0,0,0,0
38922635,5.23359,0.0,0,0,1,0,0,0,0
39422648,5.21587,0.0,0,0,1,0,0,0,0
39922648,5.2481,0.0,0,0,1,0,0,0,0
40422627,5.24648,0.0,0,0,1,0,0,0,0
40922637,5.26743,0.0,0,0,1,0,0,0,0
41432666,5.22393,0.0,0,0,1,0,0,0,0
41932661,5.27388,0.0,0,0,1,0,0,0,0
42432627,5.25938,0.0,0,0,1,0,0,0,0
42932627,5.26099,0.0,0,0,1,0,0,0,0
43432635,5.25454,0.0,0,0,1,0,0,0,0
43932648,5.22876,0.0,0,0,1,0,0,0,0
44432627,5.21909,0.0,0,0,1,0,0,0,0
45442627,5.23359,0.0,0,0,1,0,0,0,0
45942627,5.23521,0.0,0,0,1,0,0,0,0
46442627,5.25132,0.0,0,0,1,0,0,0,0
46942627,5.25132,0.0,0,0,1,0,0,0,0
47442667,5.22554,0.0,0,0,1,0,0,0,0
47952666,5.23682,0.0,0,0,1,0,0,0,0
48452666,5.2916,0.0,0,0,1,0,0,0,0
48952627,5.25615,0.0,0,0,1,0,0,0,0
49452627,5.23037,0.0,0,0,1,0,0,0,0
49952639,5.25132,0.0,0,0,1,0,0,0,0
50452627,5.24004,0.0,0,0,1,0,0,0,0
50952627,5.24326,0.0,0,0,1,0,0,0,0
51452667,5.25132,0.0,0,0,1,0,0,0,0
51952651,5.21426,0.0,0,0,1,0,0,0,0
52452627,5.23037,0.0,0,0,1,0,0,0,0
52952627,5.2771,0.0,0,0,1,0,0,0,0
53462656,5.29644,0.0,0,0,1,0,0,0,0
53962627,5.2207,0.0,0,0,1,0,0,0,0
54462668,5.30288,0.0,0,0,1,0,0,0,0
54962627,5.24004,0.0,0,0,1,0,0,0,0
55462627,5.24971,0.0,0,0,1,0,0,0,0
55962627,5.28193,0.0,0,0,1,0,0,0,0
