timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9294525,0.16327234,0.05629051,0.103181265,0.9774549,0.114963844,0.004226776,0.17705189,0.983434,-0.0011264143,0.031532515,0.17849964,2
9298598,0.15830633,0.053346377,0.09965398,0.97740304,0.11507225,0.0043289596,0.17726569,0.983434,-0.0011264143,0.031532515,0.17849964,2
9330516,0.024068072,-0.056934047,0.08961567,0.9771609,0.114731945,0.00398487,0.17882232,0.983434,-0.0011264143,0.031532515,0.17849964,2
9358491,0.07243899,0.0016764223,0.093280435,0.97704065,0.113899924,0.0031004918,0.1800244,0.983434,-0.0011264143,0.031532515,0.17849964,2
9390499,0.15454142,0.10208117,0.08952438,0.97673637,0.11385347,0.0041369814,0.18167646,0.983434,-0.0011264143,0.031532515,0.17849964,2
9423292,0.048989132,0.013320441,0.0899122,0.97644657,0.11372657,0.0050580986,0.18328337,0.983434,-0.0011264143,0.031532515,0.17849964,2
9455323,0.008575432,-0.058186393,0.07551556,0.9764138,0.11198078,0.0039497647,0.1845559,0.983434,-0.0011264143,0.031532515,0.17849964,2
9487210,0.1157842,0.039389532,0.08096016,0.9762685,0.11116099,0.0036867969,0.18582101,0.983434,-0.0011264143,0.031532515,0.17849964,2
9519304,0.06390293,-0.030689904,0.06657642,0.9760924,0.110685155,0.0038200873,0.1870236,0.983434,-0.0011264143,0.031532515,0.17849964,2
9547262,-0.039334945,-0.105618015,0.078452095,0.9761057,0.10920646,0.0023685663,0.18784563,0.983434,-0.0011264143,0.031532515,0.17849964,2
9579270,0.07645829,0.04819048,0.10472857,0.97605276,0.10722876,0.001451492,0.18926436,0.983434,-0.0011264143,0.031532515,0.17849964,2
9612128,0.1812008,0.07322265,0.10343016,0.9756749,0.10742172,0.0030171,0.19107576,0.983434,-0.0011264143,0.031532515,0.17849964,2
9644103,0.05008586,-0.124018855,0.087567784,0.9754339,0.107290275,0.0025092692,0.19238305,0.983434,-0.0011264143,0.031532515,0.17849964,2
9676072,0.010873392,-0.18057822,0.06638043,0.97544295,0.10576856,-0.00058444304,0.19319353,0.983434,-0.0011264143,0.031532515,0.17849964,2
9708081,0.10200455,-0.0054398854,0.07639119,0.9753716,0.104933776,-0.0019132706,0.19399916,0.983434,-0.0011264143,0.031532515,0.17849964,2
10277673,0.2926637,0.1315301,0.087075,0.9710649,0.09925892,0.0054383865,0.21714306,0.983434,-0.0011264143,0.031532515,0.17849964,2
10310501,0.16324042,0.08860398,0.090757646,0.9706022,0.101442456,0.008546399,0.21810053,0.983434,-0.0011264143,0.031532515,0.17849964,2
10338518,0.027098738,-0.104105376,0.09906948,0.97038764,0.10174151,0.008478503,0.2189169,0.983434,-0.0011264143,0.031532515,0.17849964,2
10370607,-0.06370264,-0.12597823,0.08578256,0.9704139,0.10053992,0.0061445856,0.21943295,0.983434,-0.0011264143,0.031532515,0.17849964,2
10402608,0.22519535,0.09668905,0.110006355,0.9701577,0.10082886,0.006384553,0.22042458,0.983434,-0.0011264143,0.031532515,0.17849964,2
10434466,0.17574878,0.043949284,0.1083179,0.96960676,0.10319355,0.008852313,0.22166511,0.983434,-0.0011264143,0.031532515,0.17849964,2
10466612,-0.022813715,-0.1748461,0.10445948,0.9693539,0.1034936,0.0076904474,0.22267218,0.983434,-0.0011264143,0.031532515,0.17849964,2
10498500,-0.05525507,-0.13849698,0.097606696,0.96935004,0.102184795,0.004683588,0.22337641,0.983434,-0.0011264143,0.031532515,0.17849964,2
10527306,0.13664483,0.057751626,0.11443515,0.969136,0.102087505,0.0044893585,0.22435136,0.983434,-0.0011264143,0.031532515,0.17849964,2
10559265,0.3075889,0.15707862,0.10304829,0.9685416,0.104591,0.0073712566,0.22568431,0.983434,-0.0011264143,0.031532515,0.17849964,2
10591362,0.14206998,0.08128781,0.10588733,0.9679405,0.10711987,0.010319638,0.22695851,0.983434,-0.0011264143,0.031532515,0.17849964,2
10623242,-0.07024085,-0.05828292,0.08664357,0.9678218,0.10620328,0.010098295,0.22790371,0.983434,-0.0011264143,0.031532515,0.17849964,2
10655272,-0.020030119,0.11740787,0.11653057,0.96777934,0.104221076,0.010294906,0.22898744,0.983434,-0.0011264143,0.031532515,0.17849964,2
10687294,0.1110418,0.18118937,0.11081675,0.9674073,0.104044616,0.013446829,0.23047148,0.983434,-0.0011264143,0.031532515,0.17849964,2
10719441,-0.025263742,0.003957559,0.08656172,0.967254,0.10324928,0.015052768,0.23137157,0.983434,-0.0011264143,0.031532515,0.17849964,2
10747298,0.002766192,-0.08395666,0.078964844,0.9672261,0.102623284,0.014163101,0.2318223,0.983434,-0.0011264143,0.031532515,0.17849964,2
10780214,0.068311036,0.026305212,0.07537943,0.9671403,0.1024569,0.014011786,0.23226257,0.983434,-0.0011264143,0.031532515,0.17849964,2
10812036,0.08038909,0.047711633,0.06995879,0.9669763,0.10292102,0.015223198,0.2326639,0.983434,-0.0011264143,0.031532515,0.17849964,2
10844106,0.06977706,0.005594115,0.09324181,0.9668187,0.10320683,0.015923211,0.23314457,0.983434,-0.0011264143,0.031532515,0.17849964,2
10876124,0.12469167,0.06086747,0.110908695,0.9665428,0.103913605,0.016812196,0.2339112,0.983434,-0.0011264143,0.031532515,0.17849964,2
10908182,0.076132156,0.006776225,0.07962586,0.966276,0.104716584,0.018060956,0.23456126,0.983434,-0.0011264143,0.031532515,0.17849964,2
10940106,0.031985387,-0.15838331,0.09002194,0.9662202,0.10503541,0.016874926,0.23473677,0.983434,-0.0011264143,0.031532515,0.17849964,2
10972212,-0.044530317,-0.119655274,0.08412378,0.96623987,0.104659274,0.014650768,0.23497312,0.983434,-0.0011264143,0.031532515,0.17849964,2
11000934,0.02381567,-0.035814796,0.08065776,0.9663009,0.10394844,0.013609169,0.2351005,0.983434,-0.0011264143,0.031532515,0.17849964,2
11033120,0.13328907,0.08015463,0.10140002,0.9660793,0.10457494,0.014589827,0.23567377,0.983434,-0.0011264143,0.031532515,0.17849964,2
11064938,0.07821652,0.040509664,0.09145555,0.96582144,0.10534276,0.016236683,0.23628008,0.983434,-0.0011264143,0.031532515,0.17849964,2
11096889,0.006956108,-0.05070944,0.07866837,0.96578443,0.105027735,0.016149491,0.23657723,0.983434,-0.0011264143,0.031532515,0.17849964,2
11128944,0.09069519,0.017508918,0.09097889,0.9657265,0.10502395,0.016034236,0.23682314,0.983434,-0.0011264143,0.031532515,0.17849964,2
