timestamp,roll,pitch,yaw,thrust
3440658,0.0,0.0,0.0,0.0
3444580,0.0,0.0,0.0,0.0
3477423,0.0,0.0,0.0,0.0
3509444,0.0,0.0,0.0,0.0
3541462,0.0,0.0,0.0,0.0
3569445,0.0,0.0,0.0,0.0
3601430,0.0,0.0,0.0,0.0
3633386,0.0,0.0,0.0,0.0
3665412,0.0,0.0,0.0,0.0
3697408,0.0,0.0,0.0,0.0
3730256,0.0,0.0,0.0,0.0
3758182,0.0,0.0,0.0,0.0
3790251,0.0,0.0,0.0,0.0
3822183,0.0,0.0,0.0,0.0
3854231,0.0,0.0,0.0,0.0
3886211,0.0,0.0,0.0,0.0
3919023,0.0,0.0,0.0,0.0
3947799,0.0,0.0,0.0,0.0
3979806,0.0,0.0,0.0,0.0
4011833,0.0,0.0,0.0,0.0
4043750,0.0,0.0,0.0,0.0
4075789,0.0,0.0,0.0,0.0
4104579,0.0,0.0,0.0,0.0
4136619,0.0,0.0,0.0,0.0
4168601,0.0,0.0,0.0,0.0
4200654,0.0,0.0,0.0,0.0
4232582,0.0,0.0,0.0,0.0
4264609,0.0,0.0,0.0,0.0
4296626,0.0,0.0,0.0,0.0
4328642,0.0,0.0,0.0,0.0
4361444,0.0,0.0,0.0,0.0
4393356,0.0,0.0,0.0,0.0
4425432,0.0,0.0,0.0,0.0
4457377,0.0,0.0,0.0,0.0
4489515,0.0,0.0,0.0,0.0
4521383,0.0,0.0,0.0,0.0
4553380,0.0,0.0,0.0,0.0
4585399,0.0,0.0,0.0,0.0
4618219,0.0,0.0,0.0,0.0
4650227,0.0,0.0,0.0,0.0
4682183,0.0,0.0,0.0,0.0
4710189,0.0,0.0,0.0,0.0
4742176,0.0,0.0,0.0,0.0
4774203,0.0,0.0,0.0,0.0
4806202,0.0,0.0,0.0,0.0
4838231,0.0,0.0,0.0,0.0
4870184,0.0,0.0,0.0,0.0
4902220,0.0,0.0,0.0,0.0
4934213,0.0,0.0,0.0,0.0
4962223,0.0,0.0,0.0,0.0
4994999,0.0,0.0,0.0,0.0
5027025,0.0,0.0,0.0,0.0
5058975,0.0,0.0,0.0,0.0
5090999,0.0,0.0,0.0,0.0
5123004,0.0,0.0,0.0,0.0
5151029,0.0,0.0,0.0,0.0
5183039,0.0,0.0,0.0,0.0
5215019,0.0,0.0,0.0,0.0
5247763,0.0,0.0,0.0,0.0
5279754,0.0,0.0,0.0,0.0
5311799,0.0,0.0,0.0,0.0
5343758,0.0,0.0,0.0,0.0
5371788,0.0,0.0,0.0,0.0
5403751,0.0,0.0,0.0,0.0
5435751,0.0,0.0,0.0,0.0
5468589,0.0,0.0,0.0,0.0
5500666,0.0,0.0,0.0,0.0
5532707,0.0,0.0,0.0,0.0
5564638,0.0,0.0,0.0,0.0
5596584,0.0,0.0,0.0,0.0
5628676,0.0,0.0,0.0,0.0
5660640,0.0,0.0,0.0,0.0
5693373,0.0,0.0,0.0,0.0
5725414,0.0,0.0,0.0,0.0
