timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
3304892,2.3260937,0.03832152,0.8503642
3509931,2.311902,0.03831949,0.84891754
3710660,2.3218598,0.0421515,0.85666937
3912788,2.3246112,0.040675245,0.8527109
4114155,2.3215163,0.04012706,0.85792345
4313637,2.3359568,0.041244913,0.8555387
4517901,2.331951,0.040781755,0.8534859
4718678,2.3414233,0.037668787,0.85489815
4923747,2.340663,0.039763905,0.8582228
5124070,2.343918,0.041473884,0.85931355
5324683,2.3109548,0.04093967,0.85668266
5529090,2.3379774,0.040779054,0.852231
5729959,2.293414,0.040182132,0.84967434
5935668,2.3198783,0.04121481,0.85089356
6136668,2.3440387,0.039842933,0.8583814
6340243,2.3561494,0.040361807,0.86215657
6544727,2.3229253,0.04249537,0.8520335
6745566,2.3420715,0.0395311,0.84691554
6950166,2.314802,0.040010843,0.8473245
7150737,2.3491788,0.0403227,0.85021985
7356733,2.3520803,0.03960154,0.84315974
7556657,2.3565412,0.039086908,0.8493683
7761081,2.3230898,0.037457447,0.84826183
7966491,2.3133311,0.040420342,0.84904194
8167307,2.3570845,0.03928576,0.8479583
8368609,2.2882206,0.040492993,0.84993994
8568856,2.325254,0.037615154,0.854099
8773469,2.2938247,0.036425862,0.86129576
8978150,2.3216488,0.04126245,0.86064994
9179268,2.3615851,0.036684792,0.8589622
9383065,2.337707,0.04252522,0.8651432
9583781,2.331876,0.041986734,0.856419
10395024,2.3460321,0.042137887,0.8605135
10595866,2.347582,0.033290043,0.8561572
10801095,2.335659,0.036418114,0.8601882
11001882,2.3460336,0.037372474,0.87042123
11206296,2.33872,0.035458002,0.86001515
11407068,2.33424,0.039881233,0.8599053
11611206,2.3485856,0.03697474,0.85610604
11815791,2.3049338,0.036850944,0.8611271
12016623,2.311697,0.0349906,0.8595163
12221856,2.3204923,0.038629793,0.8636214
12422385,2.3918982,0.04214132,0.8532369
12626729,2.2967148,0.039287493,0.8506968
12827814,2.3311808,0.036685605,0.85092735
13033055,2.2979782,0.036923803,0.85516393
13234482,2.3314552,0.0386214,0.85211915
13433673,2.3085272,0.036903434,0.8469631
13638913,2.2956915,0.038564023,0.85555583
13839060,2.4239407,0.042721048,0.85338175
14039812,2.3275814,0.039959826,0.8562868
14244754,2.320954,0.035260666,0.8570715
14445579,2.327495,0.037252437,0.8634339
14647200,2.2769923,0.040089127,0.8614629
14847472,2.3540814,0.036358684,0.8550049
15048275,2.3342166,0.039690074,0.8618531
15249337,2.3066645,0.036445092,0.85545975
15449590,2.3510752,0.038590167,0.8542715
15653920,2.319949,0.042591147,0.8664408
15858978,2.2952135,0.03688826,0.85606
16059493,2.3819766,0.043081436,0.86206406
16263874,2.2504723,0.041752834,0.85774297
16464704,2.290623,0.039698817,0.85759306
16669733,2.3083801,0.036623184,0.85782254
16870914,2.3265297,0.04270796,0.85956484
17071478,2.3266022,0.037876036,0.8641413
