timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
3296464,0.124590166,0.022997795,0.38658193
3306064,0.133333,0.031711034,0.38857663
3316463,0.15259351,0.040149845,0.39727506
3326101,0.13517424,0.039875418,0.40414947
3336464,0.13517424,0.039875418,0.40414947
3345275,0.14031723,0.031711034,0.38853395
3356463,0.14732215,0.03157382,0.39187518
3365271,0.14744616,0.03075054,0.41217843
3376504,0.14382742,0.021035604,0.39146918
3385284,0.13335192,0.02454834,0.39167562
3394907,0.14033616,0.02454834,0.39163294
3405271,0.14386962,0.024273913,0.3983794
3416475,0.133333,0.031711034,0.38857663
3425272,0.133333,0.031711034,0.38857663
3434064,0.14554726,0.040561482,0.3871661
3444463,0.13686559,0.027923863,0.3951806
3454064,0.14213693,0.03649989,0.4005805
3464463,0.14040078,0.034674916,0.40221187
3474064,0.12285314,0.017660078,0.38807088
3485271,0.14031637,0.02819829,0.38839152
3494095,0.14556357,0.02286058,0.38983783
3504464,0.14556357,0.02286058,0.38983783
3514086,0.14556357,0.02286058,0.38983783
3522887,0.1211816,0.025961677,0.4002812
3533263,0.14033964,0.038599297,0.3922027
3542896,0.12808403,0.030023271,0.38684547
3553263,0.12289448,0.01738565,0.39483863
3562888,0.13862154,0.02609889,0.39679065
3573277,0.12808578,0.037048746,0.38713032
3582895,0.13161835,0.03326158,0.3937343
3593277,0.14031637,0.02819829,0.38839152
3603647,0.14031637,0.02819829,0.38839152
3613278,0.12630653,0.028472716,0.3817091
3622071,0.13512942,0.02609889,0.396812
3633270,0.14029743,0.035360985,0.3852925
3642895,0.13508634,0.019347839,0.3897594
3653273,0.12808317,0.026510531,0.386703
3662119,0.1263074,0.03198546,0.38185152
3673271,0.14734195,0.027923863,0.39511663
3682863,0.12990287,0.031299394,0.39874956
3691708,0.12990287,0.031299394,0.39874956
3701277,0.12469351,0.022311727,0.4035013
3710880,0.1403551,0.01738565,0.39473197
3721270,0.12812711,0.03677432,0.39389807
3730890,0.13339326,0.024273913,0.39844337
3742063,0.14207405,0.033398792,0.39028645
3750895,0.13849753,0.02692217,0.3764874
3762063,0.14031202,0.0106346,0.38767937
3770864,0.1385802,0.026373316,0.39002293
