timestamp,load,ram_usage
4306589,0.40001202,0.86074406
5307565,0.434091,0.86243814
6308550,0.43225,0.8608118
7309016,0.45212302,0.86284477
8308436,0.437919,0.85037607
9309590,0.480308,0.8501728
10310519,0.47716,0.84956294
11313229,0.494353,0.85179913
12314435,0.486656,0.8501728
13315626,0.48477,0.8501728
14317305,0.493109,0.85179913
15319280,0.486728,0.85179913
16320326,0.484572,0.8501728
17323157,0.477371,0.85179913
18324999,0.494802,0.85179913
19326669,0.482479,0.8501728
20327635,0.484792,0.84956294
21330661,0.493981,0.85179913
22331634,0.486101,0.8501728
23332916,0.48344702,0.8501728
24336463,0.49298,0.85179913
25337796,0.482773,0.85179913
26338558,0.489253,0.8501728
27341078,0.486579,0.85179913
28341588,0.493114,0.85179913
29344372,0.485536,0.8501728
30345034,0.477464,0.84956294
31348012,0.494579,0.85179913
32349723,0.48335502,0.8501728
33352450,0.48729602,0.8501728
34353179,0.49857,0.85179913
35352484,0.485671,0.85179913
36356034,0.484406,0.8501728
37357934,0.481282,0.85356104
38359910,0.484311,0.8536965
39361016,0.490935,0.8536965
40363702,0.48428,0.8536965
41365065,0.486007,0.8536965
42364513,0.486816,0.8536965
44366781,0.471116,0.8536965
45367509,0.486988,0.8536965
46369602,0.484223,0.8536965
47370903,0.487464,0.8536965
48372149,0.487962,0.8536965
49371553,0.489806,0.8536965
50372735,0.479934,0.8536965
51375612,0.476204,0.8536965
52376258,0.488494,0.8536965
53377653,0.484693,0.8536965
54379380,0.483335,0.8536965
55381204,0.483103,0.8536965
56382832,0.488246,0.8536965
57384880,0.476445,0.8536965
58385802,0.486085,0.8536965
59387943,0.483372,0.8536965
60389601,0.488815,0.8536965
61391686,0.486403,0.8536965
62392465,0.485374,0.8536965
63394014,0.484967,0.8536965
64393664,0.47433,0.8536965
65394079,0.488509,0.8536965
66395491,0.484085,0.8536965
67397067,0.4849,0.8536965
68398662,0.490703,0.8536965
69398642,0.483194,0.8536965
70399952,0.484692,0.8536965
71399965,0.478264,0.8536965
72399571,0.488156,0.8536965
73403406,0.486476,0.8536965
74404787,0.487377,0.8536965
75406670,0.49223,0.8536965
76408374,0.486431,0.8536965
77410763,0.47909302,0.8536965
78411716,0.481601,0.8536965
79411580,0.4898,0.8536965
80415376,0.492039,0.8536965
81417492,0.486691,0.8536965
82418715,0.487178,0.8536965
83420077,0.484741,0.8536965
84419572,0.476699,0.8536965
85423226,0.484121,0.8536965
86425134,0.48524,0.8536965
87427717,0.487752,0.8536965
88429058,0.487345,0.8536965
89430717,0.486353,0.8536965
90431984,0.487563,0.8536965
91434084,0.477253,0.8536965
92435361,0.486886,0.8536965
93437198,0.48307002,0.8536965
94439116,0.484534,0.8536965
95440520,0.485837,0.8536965
96442026,0.486218,0.8536965
97444924,0.480789,0.8536965
98445008,0.47799,0.8536965
99444510,0.487327,0.8536965
100448499,0.485356,0.8536965
101449541,0.48984,0.8536965
102451199,0.488504,0.8536965
103450571,0.488078,0.8536965
104451732,0.483767,0.8536965
105451509,0.481615,0.8536965
106451478,0.48791,0.8536965
107452095,0.485083,0.8536965
108452530,0.485614,0.8536965
109452887,0.48671,0.8536965
110453573,0.487748,0.8536965
111454845,0.476516,0.8536965
112456079,0.488952,0.8536965
113455572,0.490134,0.8536965
114456435,0.487888,0.8536965
115456515,0.488558,0.8536965
116458525,0.487191,0.8536965
117460923,0.48938102,0.8536965
118461857,0.477956,0.8536965
119463374,0.483479,0.8536965
120464801,0.468912,0.8536965
121466534,0.484791,0.8536965
122467667,0.490066,0.8536965
123469157,0.485222,0.8536965
124468439,0.484759,0.8536965
125469578,0.484422,0.8536965
126470555,0.486743,0.8536965
127471360,0.485971,0.8536965
128472871,0.488575,0.8536965
129474716,0.483248,0.8536965
130474746,0.48627,0.8536965
131474829,0.48358,0.8536965
132476902,0.482303,0.8536965
133477818,0.4889,0.8536965
134479599,0.486054,0.8536965
135481200,0.485374,0.8536965
136483282,0.485727,0.8536965
137484510,0.483469,0.8536965
138485699,0.480935,0.8536965
139486943,0.486329,0.8536965
140486435,0.486354,0.8536965
141488038,0.486955,0.8536965
142487510,0.488996,0.8536965
143488872,0.486982,0.8536965
144491600,0.482503,0.8536965
145492453,0.477049,0.8536965
146493917,0.48786,0.8536965
147495406,0.487579,0.8536965
148496435,0.489841,0.8536965
149497879,0.489998,0.8536965
150499916,0.48365802,0.8536965
151501009,0.482131,0.8536965
152503128,0.481353,0.8536965
153504283,0.48292,0.8536965
154505959,0.486002,0.8536965
155507503,0.483689,0.8536965
156508825,0.487251,0.8536965
157510880,0.483227,0.8536965
158512735,0.477558,0.8536965
159513933,0.486527,0.8536965
160515412,0.485604,0.8536965
161515435,0.488446,0.8536965
162516466,0.488453,0.8536965
163517703,0.484517,0.8536965
164517491,0.4847,0.8536965
165520284,0.476708,0.8536965
166521208,0.48644,0.8536965
167522596,0.487705,0.8536965
168523443,0.483082,0.8536965
169523709,0.485723,0.8536965
170526821,0.487821,0.8536965
171529294,0.48269,0.8536965
172530739,0.478327,0.8536965
173531955,0.482474,0.8536965
174533108,0.48826,0.8536965
175534003,0.486552,0.8536965
176535728,0.485505,0.8536965
177535435,0.485787,0.8536965
178536543,0.482684,0.8536965
179537511,0.483864,0.8536965
180538638,0.490174,0.8536965
