timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
9146847,0.0,0.0,0.0,-0.047468033,-0.019671002,-0.2589264,0.0,0.0,0.0,0.09416169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675653,0.26756543,4.126749,0.0,0.0,0.0,0.091606356,0.0,0.0,0.0,0.0,0.0,0.004664192,0.029803295,0.027806258,0.0,0.0,0.0,0.0,0.0,0.0
9150728,0.0,0.0,0.0,-0.047468033,-0.019671002,-0.2589264,0.0,0.0,0.0,0.09416169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675653,0.26756543,4.126749,0.0,0.0,0.0,0.091606356,0.0,0.0,0.0,0.0,0.0,0.004664192,0.029803295,0.027806258,0.0,0.0,0.0,0.0,0.0,0.0
9354926,0.0,0.0,0.0,-0.037159715,-0.005865248,-0.027053833,0.0,0.0,0.0,0.23407817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26724866,0.2672495,4.1270666,0.0,0.0,0.0,0.09155567,0.0,0.0,0.0,0.0,0.0,0.03541936,0.044328425,0.036819424,0.0,0.0,0.0,0.0,0.0,0.0
9555498,0.0,0.0,0.0,-0.010085225,0.0048462716,-0.066345215,0.0,0.0,0.0,0.24254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26573142,0.26573136,4.122081,0.0,0.0,0.0,0.091501065,0.0,0.0,0.0,0.0,0.0,0.053641263,0.037376028,0.034967057,0.0,0.0,0.0,0.0,0.0,0.0
9755550,0.0,0.0,0.0,0.007104028,0.0003350739,0.13990784,0.0,0.0,0.0,0.3192572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26576874,0.2657681,4.122225,0.0,0.0,0.0,0.091455385,0.0,0.0,0.0,0.0,0.0,0.061364073,0.03074485,0.04196454,0.0,0.0,0.0,0.0,0.0,0.0
9960368,0.0,0.0,0.0,0.014379932,-0.009961926,-0.24635315,0.0,0.0,0.0,0.44941926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26487872,0.26487777,4.118399,0.0,0.0,0.0,0.09139437,0.0,0.0,0.0,0.0,0.0,0.08262903,0.02853008,0.034921095,0.0,0.0,0.0,0.0,0.0,0.0
10164386,0.0,0.0,0.0,0.0065698805,-0.0012546106,-0.0836792,0.0,0.0,0.0,0.519956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26437607,0.26437652,4.115054,0.0,0.0,0.0,0.09134224,0.0,0.0,0.0,0.0,0.0,0.10390054,0.02185173,0.03328177,0.0,0.0,0.0,0.0,0.0,0.0
10365100,0.0,0.0,0.0,-0.028583787,0.024010388,0.010543823,0.0,0.0,0.0,0.6130326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26414257,0.264148,4.111932,0.0,0.0,0.0,0.09129966,0.0,0.0,0.0,0.0,0.0,0.11590446,0.023353208,0.0068363417,0.0,0.0,0.0,0.0,0.0,0.0
10569223,0.0,0.0,0.0,-0.062626794,0.025476204,-0.18771362,0.0,0.0,0.0,0.7854077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640453,0.26405773,4.109178,0.0,0.0,0.0,0.09125227,0.0,0.0,0.0,0.0,0.0,0.13461456,0.029604336,0.015418308,0.0,0.0,0.0,0.0,0.0,0.0
10770063,0.0,0.0,0.0,-0.07045128,-0.039524015,0.018661499,0.0,0.0,0.0,0.78522885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26395774,0.26396066,4.10649,0.0,0.0,0.0,0.09121071,0.0,0.0,0.0,0.0,0.0,0.1474735,0.061492953,0.029082524,0.0,0.0,0.0,0.0,0.0,0.0
