timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
4407246,4407073,0.0017341509,0.0006276482,-0.0053428486,0.0,0.0,0.0,0.0,-1.0
4411202,4411073,0.0018486046,0.00093922426,-0.0047413167,0.0,0.0,0.0,0.0,-1.0
4515249,4515112,0.0013590812,0.00219118,-0.004758394,0.0,0.0,0.0,0.0,-1.0
4619211,4619080,0.00067216344,0.0021539424,-0.004932029,0.0,0.0,0.0,0.0,-1.0
4719212,4719081,-0.00056797557,0.026816983,-0.003782098,0.0,0.0,0.0,0.0,-1.0
4820033,4819903,0.001845184,0.00088757044,-0.0077909646,0.0,0.0,0.0,0.0,-1.0
4924034,4923874,0.0019347735,0.0062966608,-0.10569561,0.0,0.0,0.0,0.0,-1.0
5024036,5023880,0.006938104,0.008188481,0.06879812,0.0,0.0,0.0,0.0,-1.0
5124008,5123884,0.008966239,0.015029105,-0.042727448,0.0,0.0,0.0,0.0,-1.0
5228092,5227918,-0.0008144061,-0.004972918,-0.006790018,0.0,0.0,0.0,0.0,-1.0
5328047,5327874,-0.000684988,0.0043617226,-0.0054191793,0.0,0.0,0.0,0.0,-1.0
5432007,5431880,0.0048429007,-0.002926407,-0.008139485,0.0,0.0,0.0,0.0,-1.0
5532027,5531901,0.005969245,0.010849535,-0.0041583795,0.0,0.0,0.0,0.0,-1.0
5632071,5631874,0.001310226,-0.0048189927,-0.031558797,0.0,0.0,0.0,0.0,-1.0
5736041,5735880,0.0016016419,0.005650952,-0.06824458,0.0,0.0,0.0,0.0,-1.0
5835983,5835856,0.0008911003,0.004978883,-0.02343195,0.0,0.0,0.0,0.0,-1.0
5936803,5936673,0.0014775912,-0.0016346948,-0.01700515,0.0,0.0,0.0,0.0,-1.0
6040856,6040679,0.0019922084,0.0064193076,0.015358744,0.0,0.0,0.0,0.0,-1.0
6140810,6140687,0.0013503704,-0.0033599583,-0.0018543565,0.0,0.0,0.0,0.0,-1.0
6240825,6240694,-0.014485198,-0.037025113,-0.005747222,0.0,0.0,0.0,0.0,-1.0
6345638,6345512,-0.0026241252,0.0016343587,-0.043058835,0.0,0.0,0.0,0.0,-1.0
6445648,6445474,0.002738127,0.0032353017,-0.005274667,0.0,0.0,0.0,0.0,-1.0
6545676,6545473,-0.0028936318,-0.013732359,0.08454262,0.0,0.0,0.0,0.0,-1.0
6649716,6649515,-0.020727951,-0.044628877,-0.061548132,0.0,0.0,0.0,0.0,-1.0
6750431,6750302,0.0009313446,0.0016481858,0.032925636,0.0,0.0,0.0,0.0,-1.0
6850434,6850299,-0.007600276,-0.011139037,0.0016125543,0.0,0.0,0.0,0.0,-1.0
6954383,6954249,0.004218493,0.0042221616,0.036906037,0.0,0.0,0.0,0.0,-1.0
7054378,7054249,-0.00015117673,-0.003465068,0.07270833,0.0,0.0,0.0,0.0,-1.0
7155203,7155073,0.0009736073,-6.4656575e-05,0.06749465,0.0,0.0,0.0,0.0,-1.0
7256029,7255874,0.002639686,0.0030767825,0.0037214346,0.0,0.0,0.0,0.0,-1.0
7360028,7359874,-0.00012363627,-0.0010436869,-0.004894833,0.0,0.0,0.0,0.0,-1.0
7460843,7460681,0.00064907456,0.0011685024,-0.0040861107,0.0,0.0,0.0,0.0,-1.0
7561580,7561450,0.000299157,-0.0005579226,-0.00490602,0.0,0.0,0.0,0.0,-1.0
7661625,7661450,0.00086179795,0.0025847955,-0.004891121,0.0,0.0,0.0,0.0,-1.0
7765645,7765476,0.0061833463,0.008330965,0.0991211,0.0,0.0,0.0,0.0,-1.0
8169689,8169496,0.0018331065,0.0028055334,0.018059889,0.0,0.0,0.0,0.0,-1.0
8273602,8273473,0.0032287491,0.0056493385,0.029654725,0.0,0.0,0.0,0.0,-1.0
8373650,8373480,0.038151946,0.041290853,-0.03754631,0.0,0.0,0.0,0.0,-1.0
8473620,8473480,0.033266354,0.04476521,0.00952751,0.0,0.0,0.0,0.0,-1.0
8577665,8577474,0.0317654,0.056301773,-0.12004364,0.0,0.0,0.0,0.0,-1.0
8677610,8677473,-0.0068552783,0.09804374,-0.1713648,0.0,0.0,0.0,0.0,-1.0
8781674,8781518,0.015679566,0.07205208,-0.23437299,0.0,0.0,0.0,0.0,-1.0
8881649,8881480,0.050218202,0.06993705,-0.2407032,0.0,0.0,0.0,0.0,-1.0
8982467,8982273,0.06837863,0.08716439,-0.23449439,0.0,0.0,0.0,0.0,-1.0
9086450,9086279,0.119225636,0.18632932,-0.12774497,0.0,0.0,0.0,0.0,-1.0
9186494,9186325,0.15313147,0.10677068,-0.10138247,0.0,0.0,0.0,0.0,-1.0
9286485,9286299,0.04356216,0.03689648,-0.08339019,0.0,0.0,0.0,0.0,-1.0
9390408,9390273,0.02775429,0.054227732,-0.07541003,0.0,0.0,0.0,0.0,-1.0
9491190,9491050,0.073189214,0.07808772,-0.12614249,0.0,0.0,0.0,0.0,-1.0
9591221,9591079,0.063528575,0.07215917,-0.2716247,0.0,0.0,0.0,0.0,-1.0
9695266,9695073,0.025648244,0.084698156,-0.17994894,0.0,0.0,0.0,0.0,-1.0
9795254,9795073,0.013134778,0.064708956,0.026143309,0.0,0.0,0.0,0.0,-1.0
9896057,9895874,0.15124823,0.15343687,-0.10839453,0.0,0.0,0.0,0.0,-1.0
9996066,9995929,0.009485513,0.05642426,-0.17866595,0.0,0.0,0.0,0.0,-1.0
10100066,10099886,0.027388485,-0.056803763,-0.23779626,0.0,0.0,0.0,0.0,-1.0
10200040,10199873,0.16148628,-0.027505409,-0.28412548,0.0,0.0,0.0,0.0,-1.0
10300865,10300681,0.14664353,-0.046932667,-0.376439,0.0,0.0,0.0,0.0,-1.0
10404810,10404681,0.3055789,-0.0036329683,-0.60828835,0.0,0.0,0.0,0.0,-1.0
10504816,10504681,0.33106792,0.030934647,-0.80931085,0.0,0.0,0.0,0.0,-1.0
10608808,10608656,0.29985878,0.029153403,-0.8890104,0.0,0.0,0.0,0.0,-1.0
10708832,10708664,0.24242517,0.027228363,-0.7399714,0.0,0.0,0.0,0.0,-1.0
10809707,10809473,0.353693,0.07762393,-0.5294628,0.0,0.0,0.0,0.0,-1.0
10909687,10909473,0.269136,0.07799273,-0.595631,0.0,0.0,0.0,0.0,-1.0
11013656,11013473,0.17268857,0.06472004,-0.65508515,0.0,0.0,0.0,0.0,-1.0
11113631,11113479,0.22820263,0.10865527,-0.6078646,0.0,0.0,0.0,0.0,-1.0
11214419,11214286,0.15873182,0.06823544,-0.54320246,0.0,0.0,0.0,0.0,-1.0
