timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
3227397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5382246e-10,4.6743476e-06,0.00034960316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3433861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0675519e-10,6.937558e-06,0.0005334685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3634678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.744442e-10,9.806482e-06,0.00059769594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3838824,0.8870064,-0.031313043,-0.0068948045,-0.46064264,0.0005889256,0.0017647293,-0.00057185517,4.0288164e-06,1.32234145e-05,-1.2278986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,3.616956e-09,1.7288628e-05,0.00054836017,0.00053335854,0.0023138386,0.0023153604,0.001969776,25.000252,25.00025,0.5625466,0.2557744,0.2557744,4.0003233,6.4000005e-07,6.4000005e-07,6.4000005e-07,2.5600002e-06,2.5600002e-06,2.5600002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4042726,0.88336754,-0.032000877,-0.0069774957,-0.46753508,0.0053860494,0.0124227805,0.0013553436,0.0001059288,0.0003398236,-0.04196872,9.647282e-09,8.195847e-07,-1.6642089e-05,-2.9231924e-08,3.5764245e-08,-4.778324e-07,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,2.7469989e-08,4.4626802e-05,0.0006910747,0.000299082,0.0024447765,0.0024471127,0.0010232046,3.9322016,3.9322124,0.56049716,0.0712502,0.07125022,0.37064958,6.3999715e-07,6.3997896e-07,6.324305e-07,2.559938e-06,2.5599381e-06,2.5599807e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.03488886,0.0,8.037041e-06,0.016056426,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4243490,0.8743868,-0.033194315,-0.0071366304,-0.48404032,-0.0065100114,-0.021020586,-0.0016428424,-0.00042360165,-0.000755188,-0.056876175,2.1617839e-07,4.965195e-06,-0.000103605205,-8.528809e-08,8.256652e-08,-4.286488e-07,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,2.8198402e-08,5.8242455e-05,0.0010109948,0.0002659292,0.00276335,0.0027665652,0.0007939069,0.81802416,0.8180431,0.5458841,0.047627926,0.04762809,0.22470808,6.398738e-07,6.397904e-07,6.035766e-07,2.5594306e-06,2.559431e-06,2.5596235e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.08316703,0.0,1.2845523e-05,0.00026541358,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4447469,0.8776551,-0.034581717,-0.0073459055,-0.4779872,-0.016265862,-0.049475603,0.0055917236,-0.0017873055,-0.0050882855,-0.024812251,-8.053296e-08,1.0017699e-05,-0.00021456617,3.5017544e-07,-5.32592e-07,-2.789229e-06,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,1.7164455e-08,3.926249e-05,0.0007427267,0.00024978333,0.003224667,0.0032290064,0.0007475651,0.3768282,0.37682202,0.5108204,0.036192246,0.036192276,0.18852827,6.384843e-07,6.3826883e-07,5.487513e-07,2.5571603e-06,2.55716e-06,2.5577897e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.055058036,0.0,9.2563416e-05,0.0051197405,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4651520,0.88274735,-0.03529409,-0.007743446,-0.46845657,-0.016587736,-0.05357371,0.070604905,-0.0025649366,-0.007845549,0.048159603,-2.9873574e-06,1.19337865e-05,-0.00029687808,1.7912502e-06,-2.4436874e-06,-2.4916928e-05,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,1.0504356e-08,2.7183032e-05,0.0005613287,0.0002367417,0.0036739623,0.0036794043,0.0007411946,0.31189513,0.31190312,0.44767413,0.029053176,0.029053194,0.17835198,6.292696e-07,6.288389e-07,4.6728462e-07,2.5495287e-06,2.5495283e-06,2.5516117e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.022594405,0.0,0.00015712636,0.045665383,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4852338,0.8858925,-0.034897976,-0.007912152,-0.46250856,-0.013931122,-0.05179261,0.1996708,-0.0026365437,-0.008837169,0.2075046,-1.0563124e-05,6.8663876e-06,-0.00031543468,4.2293527e-06,-5.4736875e-06,-7.383016e-05,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,8.4954985e-09,3.5733276e-05,0.00074262294,0.00023224873,0.0037452374,0.0037508826,0.0007649285,0.3313065,0.33131424,0.3723962,0.026330255,0.026330326,0.17393063,5.985727e-07,5.9795804e-07,3.892578e-07,2.5349727e-06,2.534968e-06,2.5386291e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.011138805,0.0,0.00018679589,0.0074213846,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
5056352,0.89035374,-0.033994462,-0.008088985,-0.4539265,-0.01975463,-0.06389331,0.18240717,-0.0027190729,-0.009567381,0.23226376,-2.14625e-05,-1.8887013e-06,-0.00032182146,9.330463e-06,-1.1454829e-05,-6.850217e-05,0.44732273,-0.0040851366,0.7330063,0.0,0.0,0.0,0.0,0.0,0.0,3.125753e-08,6.847835e-05,0.0009824465,0.0002213842,0.0034422264,0.0034472088,0.000780449,0.35365772,0.35354814,0.30798453,0.028209416,0.028208788,0.17638315,5.4471764e-07,5.4399624e-07,3.1588726e-07,2.5198633e-06,2.5198447e-06,2.5195573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.030788084,0.0,0.00020320421,0.0038922552,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
