timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
4487245,-0.00608677,-0.007799485,0.013379781,0.0,0.0,0.0,0.0
4491222,-0.0069126184,-0.008329186,0.016216272,0.0,0.0,0.0,0.0
4523269,-0.005806953,-0.009534656,0.014179855,0.0,0.0,0.0,0.0
4555238,-0.007364119,-0.010012016,0.014166899,0.0,0.0,0.0,0.0
4587286,-0.0076945303,-0.009376836,0.016595416,0.0,0.0,0.0,0.0
4619222,-0.0055770357,-0.010529801,0.016440097,0.0,0.0,0.0,0.0
4651228,-0.0069277044,-0.008557901,0.015123059,0.0,0.0,0.0,0.0
4683248,0.0027068236,-0.0054154983,0.018062882,0.0,0.0,0.0,0.0
4715252,-0.005324718,-0.037080385,0.010547994,0.0,0.0,0.0,0.0
4747225,-0.007802369,-0.025253665,0.014710007,0.0,0.0,0.0,0.0
4779223,-0.0032498194,-0.0010043061,0.015926782,0.0,0.0,0.0,0.0
4812087,-0.0032612523,-0.015448753,0.016776925,0.0,0.0,0.0,0.0
4844054,-0.0019356131,-0.0028581535,0.09358192,0.0,0.0,0.0,0.0
4872091,-0.00041368787,-0.035227228,0.1795328,0.0,0.0,0.0,0.0
4904041,-0.0025186324,-0.03771908,0.25057897,0.0,0.0,0.0,0.0
4936040,0.005895373,-0.034564078,0.38098386,0.0,0.0,0.0,0.0
4968012,0.0069796103,0.114015,0.14140633,0.0,0.0,0.0,0.0
5000065,-0.019141492,0.019632043,-0.121099725,0.0,0.0,0.0,0.0
5032074,-0.011067206,-0.040775213,-0.2306858,0.0,0.0,0.0,0.0
5064050,-0.011430821,-0.0761284,-0.022247434,0.0,0.0,0.0,0.0
5096012,-0.012742222,-0.022659956,0.16068968,0.0,0.0,0.0,0.0
5124019,-0.02050536,-0.074219115,0.14242482,0.0,0.0,0.0,0.0
5156027,-0.01706839,-0.085936636,0.0032900663,0.0,0.0,0.0,0.0
5188097,-0.0075492593,-0.0014673624,0.014494604,0.0,0.0,0.0,0.0
5220054,-0.0078665195,-0.0061553386,0.025439583,0.0,0.0,0.0,0.0
5252050,-0.005279276,-0.011726257,0.012838923,0.0,0.0,0.0,0.0
5284037,-0.0107383765,-0.020155763,-0.0073380335,0.0,0.0,0.0,0.0
5316099,-0.012527676,-0.022296708,0.005734783,0.0,0.0,0.0,0.0
5348058,-0.011864972,-0.0036815028,0.0010051972,0.0,0.0,0.0,0.0
5376051,-0.010751341,-0.011031538,-0.038062856,0.0,0.0,0.0,0.0
5408008,-0.0062558497,-0.021350844,-0.014665695,0.0,0.0,0.0,0.0
5440049,-0.010969014,0.0021931967,0.022075854,0.0,0.0,0.0,0.0
5472009,-0.0017569552,-0.0075570955,0.014957335,0.0,0.0,0.0,0.0
5504086,-0.015720036,0.040723834,0.013440881,0.0,0.0,0.0,0.0
5536052,-0.012110414,-0.038122118,0.025925718,0.0,0.0,0.0,0.0
5568052,0.0125059225,-0.02334616,0.10243394,0.0,0.0,0.0,0.0
5600011,-0.0050027594,-0.0009462931,0.095407754,0.0,0.0,0.0,0.0
5632089,-0.001381517,0.012015023,0.105195984,0.0,0.0,0.0,0.0
5660042,1.0221347e-06,0.029598262,0.12177979,0.0,0.0,0.0,0.0
5692111,-0.0031470396,0.006108018,0.20931643,0.0,0.0,0.0,0.0
5724019,0.0014727478,-0.00412886,0.24895185,0.0,0.0,0.0,0.0
5756057,-0.0077795796,-0.060707677,0.17770863,0.0,0.0,0.0,0.0
5788028,-0.004780924,-0.017576328,0.09873752,0.0,0.0,0.0,0.0
5820048,-0.015351459,-0.043391448,0.07689524,0.0,0.0,0.0,0.0
5851987,-0.005173417,-0.0073147216,0.08116804,0.0,0.0,0.0,0.0
5880886,0.00026007037,-0.012709392,0.10083625,0.0,0.0,0.0,0.0
5912865,-0.0031633936,-0.018520929,0.09232538,0.0,0.0,0.0,0.0
5944812,-0.006787209,-0.0032758117,0.037966765,0.0,0.0,0.0,0.0
5976828,-0.008733457,1.7611183e-05,-0.0037087323,0.0,0.0,0.0,0.0
6008847,-0.008993356,-0.0009781277,-0.04570915,0.0,0.0,0.0,0.0
6040867,-0.012337661,-0.027348131,-0.05119581,0.0,0.0,0.0,0.0
6072832,-0.011362796,-0.018946469,0.012663035,0.0,0.0,0.0,0.0
6100831,-0.0122435,-0.0054619648,0.027732681,0.0,0.0,0.0,0.0
6132870,-0.015805317,-0.0356452,0.0014660554,0.0,0.0,0.0,0.0
6164816,0.0034072986,0.021019228,0.018690594,0.0,0.0,0.0,0.0
6196896,0.051155638,0.21189229,0.24530007,0.0,0.0,0.0,0.0
6228812,-0.04443445,-0.05517134,0.01995656,0.0,0.0,0.0,0.0
6260821,0.023637434,0.07199091,0.048344795,0.0,0.0,0.0,0.0
6288815,0.016338749,0.07311434,0.19257972,0.0,0.0,0.0,0.0
6321614,-0.022122199,-0.03708864,0.17169097,0.0,0.0,0.0,0.0
6353626,-0.012883391,-0.033818934,0.15549783,0.0,0.0,0.0,0.0
6385639,-0.01394793,-0.055447534,0.20233288,0.0,0.0,0.0,0.0
6417667,0.004718077,0.042385712,0.09647721,0.0,0.0,0.0,0.0
6449679,-0.008663555,-0.0025341758,0.017758556,0.0,0.0,0.0,0.0
6481661,-0.015804125,-0.020989263,0.015748436,0.0,0.0,0.0,0.0
6513637,-0.023777368,-0.06614699,0.008526113,0.0,0.0,0.0,0.0
6541626,0.011879425,0.008603953,-0.25204042,0.0,0.0,0.0,0.0
6573652,-0.031540755,-0.064654715,-0.484768,0.0,0.0,0.0,0.0
6605680,0.009119855,0.024291884,-0.29490137,0.0,0.0,0.0,0.0
6637619,0.0063699177,0.02542096,0.08483438,0.0,0.0,0.0,0.0
6669722,0.02348272,0.08590962,0.26378366,0.0,0.0,0.0,0.0
6701664,0.011454457,0.028778559,0.061320834,0.0,0.0,0.0,0.0
6733696,0.03756675,0.073770255,-0.004002898,0.0,0.0,0.0,0.0
6762449,0.0016417115,0.009160565,-0.1871624,0.0,0.0,0.0,0.0
6794492,0.036473166,0.048751272,-0.16103986,0.0,0.0,0.0,0.0
6826443,0.027296044,0.037675228,0.00755562,0.0,0.0,0.0,0.0
6858465,0.026045825,0.03522018,-0.016878039,0.0,0.0,0.0,0.0
6890436,0.008493757,0.013333116,-0.05676649,0.0,0.0,0.0,0.0
6922502,0.013249577,0.027954116,-0.10519235,0.0,0.0,0.0,0.0
6954394,-0.015258565,-0.011906546,-0.12302012,0.0,0.0,0.0,0.0
6986450,0.0043414496,0.022282911,-0.14765719,0.0,0.0,0.0,0.0
7014384,-0.015934896,-0.0112730935,-0.177092,0.0,0.0,0.0,0.0
7046456,0.001087043,0.01502574,-0.24004376,0.0,0.0,0.0,0.0
7078415,-0.012530847,-0.004339571,-0.25268295,0.0,0.0,0.0,0.0
7110473,-0.00056704995,0.012452261,-0.26506516,0.0,0.0,0.0,0.0
7142390,-0.008358846,0.0023498852,-0.23757632,0.0,0.0,0.0,0.0
7175225,-0.0051962957,0.0049704085,-0.21368429,0.0,0.0,0.0,0.0
7203236,-0.0076997015,-0.002612995,-0.17654362,0.0,0.0,0.0,0.0
7236016,-0.0064360616,-0.0008579758,-0.07978547,0.0,0.0,0.0,0.0
7268075,-0.011377049,-0.0134240305,0.016144024,0.0,0.0,0.0,0.0
7300110,-0.0052565634,-0.0019085376,0.014727953,0.0,0.0,0.0,0.0
7332056,-0.013822428,-0.015489089,0.01427524,0.0,0.0,0.0,0.0
7364015,-0.006213739,-0.0051376806,0.01596603,0.0,0.0,0.0,0.0
7392025,-0.0074604345,-0.008624346,0.015279073,0.0,0.0,0.0,0.0
7424019,-0.007462506,-0.0046063247,0.016005721,0.0,0.0,0.0,0.0
7456863,-0.0040927064,-0.00800265,0.0149554815,0.0,0.0,0.0,0.0
7489722,-0.0067809313,-0.0047955737,0.01845955,0.0,0.0,0.0,0.0
7521621,-0.00980184,-0.010812458,0.017250434,0.0,0.0,0.0,0.0
7549696,-0.0025024426,-0.0022283169,0.016269509,0.0,0.0,0.0,0.0
7581592,-0.0062803584,-0.008620719,0.015850862,0.0,0.0,0.0,0.0
7613607,-0.005010838,-0.0084814895,0.014462105,0.0,0.0,0.0,0.0
7645594,-0.009072643,-0.0131944055,0.014158556,0.0,0.0,0.0,0.0
7677645,-0.007626263,-0.013987629,0.013953425,0.0,0.0,0.0,0.0
7709696,-0.02073516,-0.02906111,-0.059432045,0.0,0.0,0.0,0.0
7741636,-0.016933737,-0.023038024,-0.2789619,0.0,0.0,0.0,0.0
7773593,-0.037018545,-0.055328283,-0.33241132,0.0,0.0,0.0,0.0
7801600,-0.0671713,-0.06951329,-0.41765162,0.0,0.0,0.0,0.0
8149692,-0.0058387523,-0.0009679787,-0.124313354,0.0,0.0,0.0,0.0
8181667,-0.008931725,-0.007945073,-0.024549168,0.0,0.0,0.0,0.0
8213613,-0.009708663,-0.011746832,0.020529887,0.0,0.0,0.0,0.0
8245656,-0.009684858,-0.0019050358,-0.0042627663,0.0,0.0,0.0,0.0
8277665,-0.0038633998,-0.010699735,-0.092925556,0.0,0.0,0.0,0.0
