timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
3229621,5.21748,0.0,0,0,1,0,0,0,0
3729621,5.2368164,0.0,0,0,1,0,0,0,0
4229621,5.2497067,0.0,0,0,1,0,0,0,0
4739621,5.243262,0.0,0,0,1,0,0,0,0
5239621,5.219092,0.0,0,0,1,0,0,0,0
5739621,5.2497067,0.0,0,0,1,0,0,0,0
6239634,5.259375,0.0,0,0,1,0,0,0,0
6739621,5.2223144,0.0,0,0,1,0,0,0,0
7239621,5.294824,0.0,0,0,1,0,0,0,0
7739667,5.2738767,0.0,0,0,1,0,0,0,0
8249634,5.2722654,0.0,0,0,1,0,0,0,0
8749622,5.2464843,0.0,0,0,1,0,0,0,0
9249621,5.2094235,0.0,0,0,1,0,0,0,0
9749625,5.2384276,0.0,0,0,1,0,0,0,0
10249621,5.2480955,0.0,0,0,1,0,0,0,0
10749621,5.2142577,0.0,0,0,1,0,0,0,0
11259649,5.2335935,0.0,0,0,1,0,0,0,0
11759621,5.264209,0.0,0,0,1,0,0,0,0
12259621,5.26582,0.0,0,0,1,0,0,0,0
12759621,5.2738767,0.0,0,0,1,0,0,0,0
13259621,5.2464843,0.0,0,0,1,0,0,0,0
13759621,5.2722654,0.0,0,0,1,0,0,0,0
14269621,5.244873,0.0,0,0,1,0,0,0,0
14769621,5.2754884,0.0,0,0,1,0,0,0,0
15269621,5.2497067,0.0,0,0,1,0,0,0,0
15769621,5.2142577,0.0,0,0,1,0,0,0,0
16269621,5.2497067,0.0,0,0,1,0,0,0,0
16769626,5.2223144,0.0,0,0,1,0,0,0,0
17279669,5.2094235,0.0,0,0,1,0,0,0,0
17779621,5.2513185,0.0,0,0,1,0,0,0,0
18279625,5.28999,0.0,0,0,1,0,0,0,0
18779621,5.2480955,0.0,0,0,1,0,0,0,0
19279621,5.2916017,0.0,0,0,1,0,0,0,0
19779621,5.2980466,0.0,0,0,1,0,0,0,0
20279621,5.215869,0.0,0,0,1,0,0,0,0
20789621,5.219092,0.0,0,0,1,0,0,0,0
21289656,5.2480955,0.0,0,0,1,0,0,0,0
21789621,5.21748,0.0,0,0,1,0,0,0,0
22289621,5.2464843,0.0,0,0,1,0,0,0,0
22789621,5.2883787,0.0,0,0,1,0,0,0,0
23289628,5.243262,0.0,0,0,1,0,0,0,0
23789669,5.2577634,0.0,0,0,1,0,0,0,0
24299621,5.2497067,0.0,0,0,1,0,0,0,0
24799621,5.264209,0.0,0,0,1,0,0,0,0
25299622,5.2368164,0.0,0,0,1,0,0,0,0
25799621,5.2916017,0.0,0,0,1,0,0,0,0
26299635,5.220703,0.0,0,0,1,0,0,0,0
26799621,5.2368164,0.0,0,0,1,0,0,0,0
27299621,5.2480955,0.0,0,0,1,0,0,0,0
27799626,5.220703,0.0,0,0,1,0,0,0,0
28299621,5.2513185,0.0,0,0,1,0,0,0,0
28799621,5.2497067,0.0,0,0,1,0,0,0,0
29299621,5.219092,0.0,0,0,1,0,0,0,0
29799621,5.2883787,0.0,0,0,1,0,0,0,0
30299621,5.294824,0.0,0,0,1,0,0,0,0
30799621,5.2464843,0.0,0,0,1,0,0,0,0
31299629,5.254541,0.0,0,0,1,0,0,0,0
31799621,5.2964354,0.0,0,0,1,0,0,0,0
32299621,5.2513185,0.0,0,0,1,0,0,0,0
32799621,5.219092,0.0,0,0,1,0,0,0,0
33309621,5.2480955,0.0,0,0,1,0,0,0,0
33809649,5.220703,0.0,0,0,1,0,0,0,0
34309630,5.2497067,0.0,0,0,1,0,0,0,0
34809665,5.254541,0.0,0,0,1,0,0,0,0
35309621,5.2480955,0.0,0,0,1,0,0,0,0
35809621,5.24165,0.0,0,0,1,0,0,0,0
36309639,5.293213,0.0,0,0,1,0,0,0,0
36809621,5.302881,0.0,0,0,1,0,0,0,0
37309621,5.21748,0.0,0,0,1,0,0,0,0
37809622,5.2529297,0.0,0,0,1,0,0,0,0
38309621,5.2964354,0.0,0,0,1,0,0,0,0
38809621,5.21748,0.0,0,0,1,0,0,0,0
39319631,5.2577634,0.0,0,0,1,0,0,0,0
39819621,5.2513185,0.0,0,0,1,0,0,0,0
40319620,5.219092,0.0,0,0,1,0,0,0,0
40819627,5.243262,0.0,0,0,1,0,0,0,0
41319627,5.2464843,0.0,0,0,1,0,0,0,0
