timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9218841,0.034394465,0.119935095,0.36459076,0.9420955,-0.0351745,-0.039450936,-0.33115304,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9222683,0.11851429,0.13269186,0.3758232,0.9423353,-0.034872096,-0.039271735,-0.3305238,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9254704,0.084862925,0.37336558,0.26438794,0.9439021,-0.033240747,-0.03530234,-0.326646,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9282849,-0.007065703,0.36890465,0.2845955,0.9449765,-0.031686667,-0.030079836,-0.32420763,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9314760,-0.11653716,0.2069217,0.34285975,0.94621503,-0.03241065,-0.024946386,-0.320943,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9346867,0.0039634523,-0.017555388,0.26519457,0.94726384,-0.03213727,-0.02328789,-0.31798768,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9378786,-0.04264261,-0.06576244,0.27207497,0.9480914,-0.03280669,-0.024242477,-0.31537092,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9410767,0.031259134,0.037345458,0.1792759,0.9486061,-0.032673314,-0.0240409,-0.3138491,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9443609,-0.036077775,0.038378883,0.5179095,0.9496844,-0.032062933,-0.0230788,-0.310707,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9471479,-0.033702943,0.073669255,0.5644944,0.95166916,-0.032522716,-0.02188263,-0.30461323,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9503481,0.027616207,-0.017880768,0.44888684,0.95314497,-0.032930125,-0.021370629,-0.29995617,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9535498,0.006050287,0.13259482,0.7145098,0.95519453,-0.03262611,-0.020574452,-0.2934548,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9567538,0.06548116,0.08741629,0.99810493,0.95862466,-0.0312592,-0.018658517,-0.282336,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9599564,0.017788216,0.015398,0.82238185,0.9620206,-0.03159442,-0.018118095,-0.27053636,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9631598,0.1331894,0.14637622,0.6529312,0.9643458,-0.030533329,-0.016234254,-0.26237634,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9663501,-0.013336252,-0.14857021,0.5834615,0.96619636,-0.029915283,-0.016765045,-0.25551635,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9695542,0.015681893,-0.13588683,0.6026156,0.9677745,-0.029378748,-0.018307114,-0.24942781,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9723476,0.06826793,-0.033913445,0.860529,0.9696884,-0.02889575,-0.019033765,-0.2418828,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9755550,0.015999023,-0.11232797,1.0277196,0.972793,-0.02881007,-0.018598212,-0.22912426,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9787550,0.047095973,-0.017819272,-0.019266129,0.9738345,-0.029510614,-0.02010761,-0.22443572,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9819557,-0.024601527,-0.21914788,0.13100104,0.97315884,-0.029966956,-0.02267708,-0.22704573,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9851489,0.05022598,-0.36017767,0.21486346,0.9728247,-0.030565534,-0.027249143,-0.22789341,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9884318,-0.13495004,-0.4172995,0.29815367,0.9728824,-0.032292213,-0.03316627,-0.2266213,0.88778454,-0.018528014,0.022535728,-0.45933378,1
9916325,-0.37629032,-0.43638426,0.4758351,0.9730963,-0.039442234,-0.038450174,-0.2237174,0.88778454,-0.018528014,0.022535728,-0.45933378,1
