timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
160875482,45.3816205233,-71.9305223717,236.2,-0.0,-0.760073,0.341986,0.323343,-0.800726,1.95083,3.20778,0.0,3,0,0,0
164440323,45.3816243517,-71.9305288548,236.42,-0.0,-0.249686,-0.0291224,0.201187,-0.861808,1.94816,3.20416,0.0,3,0,0,0
164641174,45.3816245499,-71.9305291738,236.443,-0.0,-0.226434,-0.0410949,0.193719,-0.865319,1.94809,3.20407,0.0,3,0,0,0
164846047,45.3816247645,-71.9305294974,236.471,-0.0,-0.201096,-0.0557629,0.185254,-0.868908,1.94819,3.2041,0.0,3,0,0,0
165046696,45.3816249412,-71.9305298062,236.496,-0.0,-0.179339,-0.068235,0.179549,-0.872453,1.94803,3.20396,0.0,3,0,0,0
165251469,45.3816251278,-71.9305301122,236.521,-0.0,-0.15635,-0.0806012,0.172165,-0.876037,1.94812,3.204,0.0,3,0,0,0
165452266,45.3816253101,-71.9305304096,236.541,-0.0,-0.133534,-0.0905119,0.166162,-0.87934,1.94805,3.20393,0.0,3,0,0,0
165653172,45.3816254709,-71.9305306493,236.558,-0.0,-0.11344,-0.0988415,0.163384,-0.882627,1.94796,3.20385,0.0,3,0,0,0
165857841,45.381625641,-71.9305308445,236.572,-0.0,-0.0943895,-0.103635,0.15731,-0.88591,1.94789,3.20378,0.0,3,0,0,0
166058676,45.3816258321,-71.9305310164,236.586,-0.0,-0.0721123,-0.110537,0.153101,-0.889118,1.94799,3.20383,0.0,3,0,0,0
167274833,45.3816263683,-71.9305316061,236.622,-0.0,0.00923596,-0.124698,0.141697,-0.90808,1.94785,3.2037,0.0,3,0,0,0
167476306,45.3816264633,-71.9305317026,236.614,-0.0,0.0192626,-0.124237,0.141826,-0.911198,1.94781,3.20369,0.0,3,0,0,0
167680297,45.3816265577,-71.9305317804,236.604,-0.0,0.0319611,-0.12713,0.141906,-0.914205,1.9478,3.2037,0.0,3,0,0,0
167884347,45.3816266592,-71.930531837,236.593,-0.0,0.0429133,-0.125823,0.144182,-0.917072,1.94789,3.2038,0.0,3,0,0,0
168085213,45.3816267701,-71.930531908,236.579,-0.0,0.0547965,-0.126558,0.144166,-0.919928,1.94776,3.20375,0.0,3,0,0,0
168290019,45.3816268766,-71.9305319842,236.562,-0.0,0.0639454,-0.128454,0.146693,-0.922868,1.94787,3.20386,0.0,3,0,0,0
168490729,45.3816269737,-71.9305320733,236.545,-0.0,0.0725521,-0.129331,0.14803,-0.925608,1.94783,3.20386,0.0,3,0,0,0
168695680,45.3816270561,-71.9305321516,236.529,-0.0,0.0810327,-0.130121,0.148194,-0.928195,1.94778,3.20386,0.0,3,0,0,0
168896307,45.3816271121,-71.9305322034,236.518,-0.0,0.0862163,-0.129325,0.149906,-0.930803,1.94774,3.20385,0.0,3,0,0,0
169097173,45.3816271543,-71.9305322825,236.508,-0.0,0.0884747,-0.132642,0.149343,-0.933585,1.94789,3.20397,0.0,3,0,0,0
169297949,45.3816271856,-71.9305323673,236.498,-0.0,0.0897355,-0.134555,0.146596,-0.936417,1.94776,3.2039,0.0,3,0,0,0
169498791,45.3816272142,-71.9305324308,236.491,-0.0,0.0886936,-0.139481,0.146539,-0.939218,1.94774,3.2039,0.0,3,0,0,0
169702775,45.3816272098,-71.9305325209,236.486,-0.0,0.0834108,-0.145015,0.146243,-0.941949,1.94772,3.2039,0.0,3,0,0,0
169904442,45.3816271883,-71.9305326828,236.483,-0.0,0.0581492,-0.169681,0.14473,-0.944592,1.94769,3.2039,0.0,3,0,0,0
170104368,45.3816270368,-71.9305329565,236.479,-0.0,-0.0421992,-0.251185,0.138288,-0.946984,1.94765,3.20389,0.0,3,0,0,0
170309164,45.3816266943,-71.9305334655,236.473,-0.0,-0.15853,-0.350081,0.139323,-0.949232,1.94776,3.20399,0.0,3,0,0,0
170509912,45.3816261953,-71.9305343106,236.464,-0.0,-0.303422,-0.470061,0.143483,-0.951268,1.94773,3.20398,0.0,3,0,0,0
170714719,45.3816254466,-71.9305356008,236.449,-0.0,-0.503015,-0.638489,0.142858,-0.952564,1.94768,3.20397,0.0,3,0,0,0
170915595,45.3816243992,-71.9305374947,236.426,-0.0,-0.772223,-0.877285,0.141213,-0.953383,1.94781,3.20408,0.0,3,0,0,0
171116277,45.3816230236,-71.930540215,236.404,-0.0,-1.0782,-1.15006,0.143053,-0.955095,1.94766,3.20401,0.0,3,0,0,0
171317182,45.3816213137,-71.9305438515,236.38,-0.0,-1.38308,-1.45971,0.150371,-0.955733,1.9476,3.204,0.0,3,0,0,0
171521157,45.3816192969,-71.930548588,236.35,-0.0,-1.66101,-1.75989,0.158795,-0.956224,1.94758,3.20401,0.0,3,0,0,0
171541949,45.3816190839,-71.930549129,236.347,-0.0,-1.68709,-1.78962,0.15779,-0.956248,1.94421,3.20154,0.0,3,0,0,0
179810704,45.3815682812,-71.9313720118,236.64,-0.0,0.0774773,-12.5313,0.0326274,-0.892302,1.94631,3.19914,0.0,3,0,0,0
180015503,45.3815678722,-71.9314042681,236.668,-0.0,0.12771,-12.7233,-0.0348483,-0.892535,1.94657,3.19911,0.0,3,0,0,0
180216334,45.3815674513,-71.9314361855,236.704,-0.0,0.178534,-12.8921,-0.0457843,-0.892764,1.94667,3.19896,0.0,3,0,0,0
180421053,45.3815670429,-71.9314690795,236.734,-0.0,0.256891,-13.0644,0.00674222,-0.893105,1.94677,3.19883,0.0,3,0,0,0
180621849,45.3815666806,-71.9315016764,236.759,-0.0,0.333968,-13.2055,-0.0237746,-0.893476,1.94684,3.19869,0.0,3,0,0,0
180825999,45.3815663166,-71.9315349865,236.794,-0.0,0.400692,-13.3339,-0.0990828,-0.89335,1.94705,3.19865,0.0,3,0,0,0
181026830,45.3815659894,-71.9315680918,236.83,-0.0,0.453911,-13.4938,-0.00708178,-0.89357,1.9471,3.19851,0.0,3,0,0,0
181131500,45.3815658724,-71.931585583,236.839,-0.0,0.492278,-13.5634,0.0390465,-0.893803,1.94536,3.19715,0.0,3,0,0,0
199990817,45.3815196896,-71.933074461,235.349,-0.0,-0.413586,0.154665,0.0500649,-0.956792,1.94759,3.19997,0.0,4,0,0,0
200194062,45.3815197302,-71.9330744582,235.283,-0.0,-0.397666,0.150074,0.0576195,-0.957428,1.9477,3.1999,0.0,4,0,0,0
200397919,45.3815197461,-71.9330744684,235.225,-0.0,-0.380933,0.143576,0.0575299,-0.958331,1.94772,3.19976,0.0,4,0,0,0
200598733,45.3815198257,-71.9330745333,235.171,-0.0,-0.361975,0.136779,0.0539852,-0.959083,1.94785,3.1997,0.0,4,0,0,0
200799481,45.3815199734,-71.9330746173,235.122,-0.0,-0.34098,0.128445,0.0505237,-0.959446,1.9479,3.1996,0.0,4,0,0,0
201004305,45.3815201742,-71.9330747166,235.073,-0.0,-0.316832,0.12036,0.0494129,-0.959814,1.94815,3.19962,0.0,4,0,0,0
201204261,45.3815203598,-71.9330748201,235.03,-0.0,-0.293102,0.113057,0.0458014,-0.960162,1.94811,3.19945,0.0,4,0,0,0
201405142,45.381520536,-71.9330749229,234.99,-0.0,-0.271495,0.103321,0.0434062,-0.960593,1.94816,3.19935,0.0,4,0,0,0
201609880,45.3815207385,-71.9330750362,234.947,-0.0,-0.249049,0.0951248,0.0399849,-0.96103,1.94839,3.19936,0.0,4,0,0,0
201810680,45.3815209279,-71.9330751359,234.907,-0.0,-0.229172,0.0917237,0.0359706,-0.961494,1.94838,3.19923,0.0,4,0,0,0
