timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
4419210,4419083,-0.003447054,0.0032840585,-0.003561661,0.0,0.0,0.0,0.0,-1.0
4423243,4423077,-0.0024630744,0.00442186,-0.0035961177,0.0,0.0,0.0,0.0,-1.0
4523245,4523076,-2.6305555e-05,0.0020276324,-0.004519863,0.0,0.0,0.0,0.0,-1.0
4623265,4623083,-0.0010772436,0.006113246,-0.004878434,0.0,0.0,0.0,0.0,-1.0
4727996,4727869,0.00040768276,0.0033777016,-0.003846632,0.0,0.0,0.0,0.0,-1.0
4828058,4827896,0.0017164621,0.0015667407,-0.0030797233,0.0,0.0,0.0,0.0,-1.0
4928821,4928672,0.0009964502,0.0026767314,-0.00285425,0.0,0.0,0.0,0.0,-1.0
5032838,5032669,0.0008923762,-0.00035524086,-0.002408673,0.0,0.0,0.0,0.0,-1.0
5133632,5133477,0.0036608467,0.0006922114,-0.00089901907,0.0,0.0,0.0,0.0,-1.0
5234420,5234246,0.0006998109,-0.00028293172,-0.0015038396,0.0,0.0,0.0,0.0,-1.0
5334386,5334255,0.0017122616,0.00044382922,-0.00011195929,0.0,0.0,0.0,0.0,-1.0
5435198,5435069,-0.0010879344,0.004010517,0.003526026,0.0,0.0,0.0,0.0,-1.0
5539226,5539069,0.0012588074,0.008983017,0.0027021784,0.0,0.0,0.0,0.0,-1.0
5639196,5639069,0.00012224028,0.0028593487,0.0063329674,0.0,0.0,0.0,0.0,-1.0
5740018,5739890,0.0068704304,0.0037252116,0.014570712,0.0,0.0,0.0,0.0,-1.0
5844807,5844670,0.003759073,0.0033710506,0.024298541,0.0,0.0,0.0,0.0,-1.0
5944818,5944688,-0.0047482112,0.008110554,0.034161855,0.0,0.0,0.0,0.0,-1.0
6045709,6045512,-0.003226041,-0.006960409,0.03462725,0.0,0.0,0.0,0.0,-1.0
6146407,6146284,0.0111870915,-0.008785736,0.044420104,0.0,0.0,0.0,0.0,-1.0
6250398,6250269,0.01915029,0.0033521643,0.054365434,0.0,0.0,0.0,0.0,-1.0
6351182,6351046,0.010196863,0.0007452984,0.05947855,0.0,0.0,0.0,0.0,-1.0
6451210,6451052,0.02573261,0.013358828,0.06633177,0.0,0.0,0.0,0.0,-1.0
6552053,6551883,0.0201503,0.0022756015,0.06446362,0.0,0.0,0.0,0.0,-1.0
6656072,6655869,0.014817635,0.00072777737,0.07854723,0.0,0.0,0.0,0.0,-1.0
6756039,6755915,-0.010781746,-0.027285958,0.0816529,0.0,0.0,0.0,0.0,-1.0
6856830,6856705,0.0025330929,0.010253203,0.074403696,0.0,0.0,0.0,0.0,-1.0
6957631,6957493,-0.04611784,-0.006602389,0.12505294,0.0,0.0,0.0,0.0,-1.0
7061637,7061505,0.023565251,-0.00021183491,0.10059082,0.0,0.0,0.0,0.0,-1.0
7162503,7162335,-0.0023700113,0.008739283,0.095152274,0.0,0.0,0.0,0.0,-1.0
7262483,7262276,-0.012236271,0.0059824977,0.1272499,0.0,0.0,0.0,0.0,-1.0
7367176,7367046,0.009855419,-0.0029447635,0.12730591,0.0,0.0,0.0,0.0,-1.0
7467996,7467869,-0.024157919,-0.011353237,0.12606087,0.0,0.0,0.0,0.0,-1.0
7568000,7567876,-0.006467253,-0.03477533,0.13817717,0.0,0.0,0.0,0.0,-1.0
7672030,7671876,0.0018747174,-0.015358227,0.13930534,0.0,0.0,0.0,0.0,-1.0
7772831,7772677,-0.016456228,0.02403066,0.12837476,0.0,0.0,0.0,0.0,-1.0
7872816,7872688,0.013136829,0.0067460854,0.12418483,0.0,0.0,0.0,0.0,-1.0
7973606,7973476,0.027278205,0.008711221,0.115142025,0.0,0.0,0.0,0.0,-1.0
8074400,8074269,-0.015589785,-0.017778665,0.117890336,0.0,0.0,0.0,0.0,-1.0
8178419,8178269,0.0073706307,-0.0006966712,0.10625251,0.0,0.0,0.0,0.0,-1.0
8279261,8279053,-0.26722398,0.100480266,0.06058506,0.0,0.0,0.0,0.0,-1.0
8379254,8379082,-0.23542304,0.1099613,0.056325175,0.0,0.0,0.0,0.0,-1.0
8484030,8483853,-0.21157376,0.13519043,0.06415058,0.0,0.0,0.0,0.0,-1.0
8583991,8583852,-0.21407399,0.1505221,0.06472181,0.0,0.0,0.0,0.0,-1.0
8684824,8684689,-0.1842153,0.15845545,0.054371726,0.0,0.0,0.0,0.0,-1.0
8784859,8784713,-0.19042665,0.17932242,0.06410502,0.0,0.0,0.0,0.0,-1.0
8889653,8889476,-0.17615505,0.19045132,0.054658808,0.0,0.0,0.0,0.0,-1.0
8990420,8990280,-0.17669363,0.21911716,0.05927718,0.0,0.0,0.0,0.0,-1.0
9090406,9090269,-0.18284819,0.20144758,0.05570951,0.0,0.0,0.0,0.0,-1.0
9191211,9191070,-0.1736543,0.207403,0.04924267,0.0,0.0,0.0,0.0,-1.0
9295244,9295069,-0.16775325,0.21458982,0.044538584,0.0,0.0,0.0,0.0,-1.0
9396030,9395852,-0.19632563,0.21683745,0.047352586,0.0,0.0,0.0,0.0,-1.0
9496010,9495846,-0.17333783,0.23228319,0.042416498,0.0,0.0,0.0,0.0,-1.0
9596869,9596688,-0.18975922,0.23060323,0.027647456,0.0,0.0,0.0,0.0,-1.0
9700813,9700677,-0.18099792,0.23871526,0.031373437,0.0,0.0,0.0,0.0,-1.0
9801621,9801482,-0.20567177,0.24752438,0.0153996665,0.0,0.0,0.0,0.0,-1.0
9901669,9901485,-0.17534831,0.24148294,0.014426544,0.0,0.0,0.0,0.0,-1.0
10006420,10006276,-0.20480855,0.24597137,-0.0056285164,0.0,0.0,0.0,0.0,-1.0
10106471,10106276,-0.18816976,0.25462523,-0.008896111,0.0,0.0,0.0,0.0,-1.0
10207245,10207069,-0.21808268,0.23849264,-0.0075157937,0.0,0.0,0.0,0.0,-1.0
10308025,10307846,-0.18189125,0.25872678,-0.009831171,0.0,0.0,0.0,0.0,-1.0
10412048,10411887,-0.18858655,0.2688305,-0.016720878,0.0,0.0,0.0,0.0,-1.0
10512878,10512714,-0.18808006,0.2869466,-0.025283044,0.0,0.0,0.0,0.0,-1.0
10612841,10612676,-0.17879479,0.27194,-0.038934216,0.0,0.0,0.0,0.0,-1.0
10712823,10712683,-0.17930368,0.2924503,-0.030482275,0.0,0.0,0.0,0.0,-1.0
10817629,10817476,-0.16356577,0.26966783,-0.04995082,0.0,0.0,0.0,0.0,-1.0
10918416,10918281,-0.14895624,0.27452868,-0.061627146,0.0,0.0,0.0,0.0,-1.0
11018459,11018295,-0.11747223,0.28312865,-0.059000723,0.0,0.0,0.0,0.0,-1.0
11119262,11119070,-0.1323045,0.2808724,-0.09548206,0.0,0.0,0.0,0.0,-1.0
