timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
4007482,inf,1,0,0,0
5016489,inf,1,0,0,0
6031114,inf,1,0,0,0
7048460,inf,1,0,0,0
8060465,inf,1,0,0,0
9072478,inf,1,0,0,0
10072490,inf,1,0,0,0
11081568,inf,1,0,0,0
12092480,inf,1,0,0,0
13100476,inf,1,0,0,0
14101596,inf,1,0,0,0
15102473,inf,1,0,0,0
16108796,inf,1,0,0,0
17116492,inf,1,0,0,0
18124470,inf,1,0,0,0
19132470,inf,1,0,0,0
20140480,inf,1,0,0,0
21145689,inf,1,0,0,0
22154854,inf,1,0,0,0
23167528,inf,1,0,0,0
24176479,inf,1,0,0,0
25188521,inf,1,0,0,0
26201495,inf,1,0,0,0
27211470,inf,1,0,0,0
28228486,inf,1,0,0,0
29237510,inf,1,0,0,0
30250523,inf,1,0,0,0
31261518,inf,1,0,0,0
32272109,inf,1,0,0,0
33281541,inf,1,0,0,0
34290470,inf,1,0,0,0
35301543,inf,1,0,0,0
36312884,inf,1,0,0,0
37323470,inf,1,0,0,0
38326762,inf,1,0,0,0
39333667,inf,1,0,0,0
40340470,inf,1,0,0,0
41346309,inf,1,0,0,0
42357904,inf,1,0,0,0
43360470,inf,1,0,0,0
44377643,inf,1,0,0,0
45387087,inf,1,0,0,0
46406733,inf,1,0,0,0
47426940,inf,1,0,0,0
48438701,inf,1,0,0,0
49451137,inf,1,0,0,0
50463470,inf,1,0,0,0
51478486,inf,1,0,0,0
52487516,inf,1,0,0,0
53498790,inf,1,0,0,0
54508470,inf,1,0,0,0
55511471,inf,1,0,0,0
56520508,inf,1,0,0,0
57527483,inf,1,0,0,0
58536526,inf,1,0,0,0
59548471,inf,1,0,0,0
60557499,inf,1,0,0,0
61572475,inf,1,0,0,0
62583595,inf,1,0,0,0
63591506,inf,1,0,0,0
64603292,inf,1,0,0,0
65615475,inf,1,0,0,0
66626480,inf,1,0,0,0
67636742,inf,1,0,0,0
68648484,inf,1,0,0,0
69652488,inf,1,0,0,0
70661596,inf,1,0,0,0
71673529,inf,1,0,0,0
72678480,inf,1,0,0,0
73692738,inf,1,0,0,0
