timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
3373543,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
4384284,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
5394493,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
6398487,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
7404356,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
8269576,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
9272587,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
10274495,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
11279491,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
12286498,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
13294537,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
14295495,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
15300498,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
16301677,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
17305837,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
18310501,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
18740421,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
