timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
4499218,-0.0211134,-0.0104324,0.0135742,0.0,0.0,0.0,0.0
4503240,-0.0186908,-0.00971701,0.012255,0.0,0.0,0.0,0.0
4535240,-0.0101933,-0.00562636,0.0189956,0.0,0.0,0.0,0.0
4567215,-0.0192159,-0.0132077,0.018136,0.0,0.0,0.0,0.0
4595231,-0.0165704,-0.0224247,0.0179571,0.0,0.0,0.0,0.0
4627218,0.000490456,-0.0353593,0.0155255,0.0,0.0,0.0,0.0
4659257,-0.0126213,-0.00641423,0.0190349,0.0,0.0,0.0,0.0
4692042,-0.00129305,0.00861861,0.0193024,0.0,0.0,0.0,0.0
4724080,-0.00549119,-0.00899455,0.0123756,0.0,0.0,0.0,0.0
4756004,-0.0177115,-0.0023526,0.0140814,0.0,0.0,0.0,0.0
4788056,-0.0115097,-0.0131753,0.00746153,0.0,0.0,0.0,0.0
4816013,-0.0225891,-0.00911729,0.0074159,0.0,0.0,0.0,0.0
4848052,-0.0244544,-0.00330474,0.00841763,0.0,0.0,0.0,0.0
4880845,-0.00999687,-0.000940717,0.0105468,0.0,0.0,0.0,0.0
4912829,-0.0181877,-0.0127433,0.00575007,0.0,0.0,0.0,0.0
4944816,-0.0111766,-0.00933865,0.0106289,0.0,0.0,0.0,0.0
4976818,-0.00663798,9.30357e-05,0.00952166,0.0,0.0,0.0,0.0
5008847,0.0026001,0.00702752,0.0123739,0.0,0.0,0.0,0.0
5041656,-0.00647639,0.00203747,0.00277456,0.0,0.0,0.0,0.0
5073660,-0.0181532,-0.00454918,0.000348619,0.0,0.0,0.0,0.0
5105675,-0.0097545,-0.0125852,0.00705832,0.0,0.0,0.0,0.0
5137694,-0.0208801,-0.0116558,0.00151388,0.0,0.0,0.0,0.0
5165675,-0.0105534,-0.0129509,0.00219167,0.0,0.0,0.0,0.0
5197690,-0.0111618,-0.0257598,0.00331555,0.0,0.0,0.0,0.0
5230443,-0.00908176,-0.0132971,0.00441886,0.0,0.0,0.0,0.0
5262385,-0.0313982,-0.00129435,-0.00729023,0.0,0.0,0.0,0.0
5294396,5.94889e-05,-0.0270801,-0.000911599,0.0,0.0,0.0,0.0
5326388,-0.0111926,-0.0183906,0.00305135,0.0,0.0,0.0,0.0
5358465,-0.0108533,-0.00522642,-0.000936949,0.0,0.0,0.0,0.0
5386417,-0.00901624,-0.0351175,-0.00389895,0.0,0.0,0.0,0.0
5419294,0.00514047,-0.0454091,-0.00677513,0.0,0.0,0.0,0.0
5451253,0.0153455,-0.0267442,-0.0157829,0.0,0.0,0.0,0.0
5483265,-0.00556367,-0.00951692,-0.0129718,0.0,0.0,0.0,0.0
5515214,-0.0113431,-0.011952,-0.00238801,0.0,0.0,0.0,0.0
5547320,-0.0129089,-0.043636,-0.0135943,0.0,0.0,0.0,0.0
5579249,-0.00870977,-0.0509276,-0.0224855,0.0,0.0,0.0,0.0
5611242,-0.00615061,-0.0287178,-0.0175802,0.0,0.0,0.0,0.0
5644026,0.00178339,-0.0225772,-0.0212034,0.0,0.0,0.0,0.0
5676052,-0.0072481,-0.0122889,-0.0305411,0.0,0.0,0.0,0.0
5708079,-0.00747708,-0.0175252,-0.0430199,0.0,0.0,0.0,0.0
5740029,-0.0254418,-0.0164984,-0.048569,0.0,0.0,0.0,0.0
5772059,-0.0195687,-0.0170137,-0.0680755,0.0,0.0,0.0,0.0
5804812,0.00730596,-0.0269757,-0.0728561,0.0,0.0,0.0,0.0
5836859,-0.0167452,-0.0381824,-0.077691,0.0,0.0,0.0,0.0
5868862,0.00119362,-0.0365533,-0.0863355,0.0,0.0,0.0,0.0
5900827,-0.0191192,-0.0356418,-0.0804522,0.0,0.0,0.0,0.0
5932850,0.0102133,-0.0503955,-0.0990193,0.0,0.0,0.0,0.0
5964859,0.000593338,-0.0424234,-0.12136,0.0,0.0,0.0,0.0
5997674,-0.0184876,-0.0138547,-0.11315,0.0,0.0,0.0,0.0
6029614,-0.00429915,0.00462738,-0.109586,0.0,0.0,0.0,0.0
6061615,-0.0199393,0.0408729,-0.124375,0.0,0.0,0.0,0.0
6089614,-0.0234333,0.0239055,-0.130961,0.0,0.0,0.0,0.0
6121648,-0.0255215,0.00110057,-0.127657,0.0,0.0,0.0,0.0
6154390,-0.0584206,0.0403585,-0.155479,0.0,0.0,0.0,0.0
6186428,-0.0660303,0.027565,-0.145456,0.0,0.0,0.0,0.0
6218455,-0.0810616,-0.0228628,-0.152016,0.0,0.0,0.0,0.0
6250409,-0.107424,-0.0299076,-0.181218,0.0,0.0,0.0,0.0
6282508,-0.0455156,-0.0448862,-0.208679,0.0,0.0,0.0,0.0
6310411,0.0173478,-0.0301059,-0.232432,0.0,0.0,0.0,0.0
6343221,-0.01515,-0.00255434,-0.20725,0.0,0.0,0.0,0.0
6375223,-0.0451609,-0.0584163,-0.199594,0.0,0.0,0.0,0.0
6407242,-0.120192,-0.112737,-0.219977,0.0,0.0,0.0,0.0
6439187,-0.214021,-0.105209,-0.231951,0.0,0.0,0.0,0.0
6471223,-0.155725,-0.0967575,-0.217466,0.0,0.0,0.0,0.0
6499187,-0.173879,-0.0796769,-0.224024,0.0,0.0,0.0,0.0
6531230,-0.175525,-0.0664373,-0.23796,0.0,0.0,0.0,0.0
6564012,-0.125991,-0.0298797,-0.214661,0.0,0.0,0.0,0.0
6596061,-0.0872146,-0.0152483,-0.221692,0.0,0.0,0.0,0.0
6628023,-0.0696162,-0.0793806,-0.250476,0.0,0.0,0.0,0.0
6660018,-0.0877644,-0.0263261,-0.262057,0.0,0.0,0.0,0.0
6692025,-0.0742195,0.144051,-0.263045,0.0,0.0,0.0,0.0
6720054,-0.0306669,0.262015,-0.259674,0.0,0.0,0.0,0.0
6752033,0.0411111,0.235747,-0.265076,0.0,0.0,0.0,0.0
6784853,0.0661356,0.184184,-0.290296,0.0,0.0,0.0,0.0
6816910,0.0482727,0.128888,-0.294638,0.0,0.0,0.0,0.0
6848820,-0.013428,0.0285234,-0.255251,0.0,0.0,0.0,0.0
6880855,0.0221028,-0.0934604,-0.259784,0.0,0.0,0.0,0.0
6909616,0.0382249,-0.120878,-0.331812,0.0,0.0,0.0,0.0
6941656,0.131186,-0.0896418,-0.410212,0.0,0.0,0.0,0.0
6973654,0.204619,0.0203384,-0.39012,0.0,0.0,0.0,0.0
7005762,0.0584575,0.0486069,-0.389532,0.0,0.0,0.0,0.0
7037609,-0.121604,0.0546658,-0.359244,0.0,0.0,0.0,0.0
7065735,-0.13162,0.0236402,-0.334584,0.0,0.0,0.0,0.0
7098404,-0.0774174,-0.0118797,-0.306642,0.0,0.0,0.0,0.0
7130404,0.00994049,-0.0636115,-0.289242,0.0,0.0,0.0,0.0
7162514,0.00515294,-0.0572611,-0.317174,0.0,0.0,0.0,0.0
7194464,-0.046596,-0.00534814,-0.326318,0.0,0.0,0.0,0.0
7226437,0.0151768,0.0302868,-0.377415,0.0,0.0,0.0,0.0
7258418,0.0637555,-0.000355153,-0.425713,0.0,0.0,0.0,0.0
7287237,0.0961968,-0.0517528,-0.431888,0.0,0.0,0.0,0.0
7319187,0.0355846,-0.0623096,-0.417608,0.0,0.0,0.0,0.0
7351242,-0.0114149,-0.0167054,-0.411713,0.0,0.0,0.0,0.0
7383231,0.00143463,-0.0314548,-0.432078,0.0,0.0,0.0,0.0
7415227,0.00241263,-0.0305808,-0.436514,0.0,0.0,0.0,0.0
7448009,0.109215,0.0665327,-0.430492,0.0,0.0,0.0,0.0
7476056,0.138953,0.066649,-0.416564,0.0,0.0,0.0,0.0
7508010,0.124348,0.107744,-0.408323,0.0,0.0,0.0,0.0
7540077,0.0660705,0.239466,-0.417392,0.0,0.0,0.0,0.0
7572034,0.0554363,0.235313,-0.465556,0.0,0.0,0.0,0.0
7604005,0.0367997,0.185353,-0.482339,0.0,0.0,0.0,0.0
7636010,-0.0459169,0.213151,-0.462928,0.0,0.0,0.0,0.0
7668020,-0.0737744,0.159507,-0.458754,0.0,0.0,0.0,0.0
7700040,0.0820132,-0.00539064,-0.484143,0.0,0.0,0.0,0.0
7728816,0.135179,-0.148975,-0.467631,0.0,0.0,0.0,0.0
7760846,0.130741,-0.146777,-0.435456,0.0,0.0,0.0,0.0
7792822,0.118282,-0.159776,-0.437747,0.0,0.0,0.0,0.0
7824858,0.175443,0.106867,-0.430061,0.0,0.0,0.0,0.0
7856816,-0.119912,0.066268,-0.412414,0.0,0.0,0.0,0.0
7885708,-0.0202139,0.0204534,-0.417433,0.0,0.0,0.0,0.0
7917610,-0.0986897,0.0707128,-0.371429,0.0,0.0,0.0,0.0
7949669,-0.169515,0.0335931,-0.359416,0.0,0.0,0.0,0.0
7981642,-0.17557,-0.0250253,-0.394824,0.0,0.0,0.0,0.0
8013652,-0.0260586,0.022442,-0.409957,0.0,0.0,0.0,0.0
8046434,-0.0102196,-0.00777052,-0.403968,0.0,0.0,0.0,0.0
8074411,0.0566647,0.0504686,-0.392968,0.0,0.0,0.0,0.0
8106408,0.0301799,0.0687654,-0.365484,0.0,0.0,0.0,0.0
8138440,0.0267909,-0.0228912,-0.345875,0.0,0.0,0.0,0.0
8170458,-0.0316306,-0.00137188,-0.346687,0.0,0.0,0.0,0.0
8202453,0.0668094,0.0102088,-0.383123,0.0,0.0,0.0,0.0
8234444,-0.0608827,0.0373431,-0.365332,0.0,0.0,0.0,0.0
8263184,-0.00299046,-0.0118601,-0.338099,0.0,0.0,0.0,0.0
8295234,0.147166,-0.0065885,-0.212727,0.0,0.0,0.0,0.0
8327272,0.107369,0.0229348,-0.210553,0.0,0.0,0.0,0.0
8359268,0.0630955,-0.0058957,-0.1973,0.0,0.0,0.0,0.0
8391197,0.0462069,-0.0605067,-0.217974,0.0,0.0,0.0,0.0
8424019,-0.0331,-0.0855594,-0.227004,0.0,0.0,0.0,0.0
8456054,-0.00532394,-0.140395,-0.255739,0.0,0.0,0.0,0.0
8488065,-0.025097,-0.134039,-0.239077,0.0,0.0,0.0,0.0
8520073,-0.0332624,-0.124476,-0.220821,0.0,0.0,0.0,0.0
8552024,0.0396321,-0.111406,-0.23874,0.0,0.0,0.0,0.0
8584003,0.0504432,-0.118965,-0.250884,0.0,0.0,0.0,0.0
8616058,0.00724485,-0.0841964,-0.237361,0.0,0.0,0.0,0.0
8644876,0.0344231,-0.0765667,-0.231308,0.0,0.0,0.0,0.0
8676852,-0.0223856,-0.0751048,-0.223692,0.0,0.0,0.0,0.0
8708895,-0.0528553,-0.0719717,-0.215227,0.0,0.0,0.0,0.0
8740821,-0.0242305,-0.0946821,-0.230192,0.0,0.0,0.0,0.0
8772876,0.00508369,-0.138758,-0.245029,0.0,0.0,0.0,0.0
8804836,-0.0325691,-0.105901,-0.25346,0.0,0.0,0.0,0.0
8833617,-0.0312877,-0.144241,-0.25701,0.0,0.0,0.0,0.0
8865737,-0.0262222,-0.15738,-0.249078,0.0,0.0,0.0,0.0
8897662,-0.0227426,-0.0980875,-0.223155,0.0,0.0,0.0,0.0
8929629,0.0308653,-0.0584795,-0.235164,0.0,0.0,0.0,0.0
8961639,0.0598473,-0.113791,-0.247591,0.0,0.0,0.0,0.0
8994473,0.00792621,-0.156682,-0.23967,0.0,0.0,0.0,0.0
9026520,-0.0545929,-0.147504,-0.24252,0.0,0.0,0.0,0.0
9054470,-0.04259,-0.085365,-0.245558,0.0,0.0,0.0,0.0
9086457,0.00313198,-0.0229486,-0.231221,0.0,0.0,0.0,0.0
9118492,0.0473643,8.53017e-05,-0.23419,0.0,0.0,0.0,0.0
9150418,0.0151989,-0.00146921,-0.229457,0.0,0.0,0.0,0.0
