timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
5130692,374.14716,21.16,96911.0,1.151463
5142136,374.14716,21.16,96911.0,1.151463
5162550,374.23434,21.16,96910.0,1.1514511
5174090,374.49332,21.16,96907.0,1.1514155
5184435,374.32156,21.16,96909.0,1.1514392
5206299,374.32156,21.16,96909.0,1.1514392
5216447,373.80365,21.16,96915.0,1.1515105
5227557,374.14716,21.16,96911.0,1.151463
5249563,373.9754,21.17,96913.0,1.1514868
5259902,374.49332,21.17,96907.0,1.1514155
5270853,374.14716,21.17,96911.0,1.151463
5292435,374.23434,21.16,96910.0,1.1514511
5302934,374.49332,21.16,96907.0,1.1514155
5313493,374.14716,21.16,96911.0,1.151463
5334836,373.80365,21.17,96915.0,1.1515105
5345523,374.06262,21.17,96912.0,1.1514748
5356448,374.5805,21.17,96906.0,1.1514035
5377485,374.14716,21.18,96911.0,1.151463
5387747,373.9754,21.18,96913.0,1.1514868
5398435,374.32156,21.18,96909.0,1.1514392
5420478,374.06262,21.17,96912.0,1.1514748
5431734,374.32156,21.17,96909.0,1.1514392
5442447,373.9754,21.17,96913.0,1.1514868
5463732,373.80365,21.18,96915.0,1.1515105
5474435,374.14716,21.18,96911.0,1.151463
5485508,373.89087,21.18,96913.99,1.1514986
5506448,373.9754,21.18,96913.0,1.1514868
5516764,374.83682,21.18,96903.0,1.1513679
5527735,374.40875,21.18,96907.99,1.1514273
5548498,373.71646,21.189999,96916.0,1.1515224
5559662,373.9754,21.189999,96913.0,1.1514868
5570436,374.23434,21.189999,96910.0,1.1514511
5592436,374.14716,21.189999,96911.0,1.151463
5602447,373.9754,21.189999,96913.0,1.1514868
5613571,374.06262,21.189999,96912.0,1.1514748
5634436,373.9754,21.189999,96913.0,1.1514868
5645790,374.32156,21.189999,96909.0,1.1514392
5656535,374.83682,21.189999,96903.0,1.1513679
5678482,374.06262,21.199999,96912.0,1.1514748
5689590,374.06262,21.199999,96912.0,1.1514748
5700944,374.32156,21.199999,96909.0,1.1514392
5721607,373.9754,21.199999,96913.0,1.1514868
5731546,374.23434,21.199999,96910.0,1.1514511
5742447,374.49332,21.199999,96907.0,1.1514155
5765155,374.06262,21.199999,96912.0,1.1514748
5775436,374.40875,21.199999,96907.99,1.1514273
5786435,374.66507,21.199999,96905.0,1.1513917
5808435,374.23434,21.199999,96910.0,1.1514511
5818631,374.32156,21.199999,96909.0,1.1514392
5829764,374.32156,21.199999,96909.0,1.1514392
5851435,374.23434,21.21,96910.0,1.1514511
5862439,374.06262,21.21,96912.0,1.1514748
5873562,374.06262,21.21,96912.0,1.1514748
5895436,374.49332,21.21,96907.0,1.1514155
5906435,374.49332,21.21,96907.0,1.1514155
5917952,374.14716,21.21,96911.0,1.151463
5939447,374.06262,21.21,96912.0,1.1514748
5950435,373.89087,21.21,96913.99,1.1514986
5961507,374.14716,21.21,96911.0,1.151463
5982512,374.32156,21.21,96909.0,1.1514392
5994116,374.40875,21.21,96907.99,1.1514273
6004436,374.5805,21.21,96906.0,1.1514035
6026190,374.32156,21.21,96909.0,1.1514392
6036485,374.49332,21.21,96907.0,1.1514155
6046582,374.32156,21.21,96909.0,1.1514392
6068502,374.06262,21.22,96912.0,1.1514748
6078901,374.14716,21.22,96911.0,1.151463
6090289,373.9754,21.22,96913.0,1.1514868
6110573,374.14716,21.22,96911.0,1.151463
6122124,373.80365,21.22,96915.0,1.1515105
6132469,374.14716,21.22,96911.0,1.151463
6154897,374.06262,21.23,96912.0,1.1514748
6165527,373.89087,21.23,96913.99,1.1514986
6176456,373.80365,21.23,96915.0,1.1515105
6197484,374.23434,21.23,96910.0,1.1514511
6207745,374.32156,21.23,96909.0,1.1514392
6218874,374.32156,21.23,96909.0,1.1514392
6240435,374.14716,21.23,96911.0,1.151463
6250909,374.5805,21.23,96906.0,1.1514035
6261529,373.9754,21.23,96913.0,1.1514868
6282941,374.40875,21.23,96907.99,1.1514273
6293511,374.23434,21.23,96910.0,1.1514511
6303441,374.40875,21.23,96907.99,1.1514273
6325503,374.23434,21.24,96910.0,1.1514511
6335979,373.9754,21.24,96913.0,1.1514868
6346435,374.49332,21.24,96907.0,1.1514155
6368435,374.32156,21.24,96909.0,1.1514392
6379670,374.5805,21.24,96906.0,1.1514035
6390435,374.49332,21.24,96907.0,1.1514155
6411706,374.40875,21.24,96907.99,1.1514273
6422445,374.49332,21.24,96907.0,1.1514155
6432446,374.32156,21.24,96909.0,1.1514392
6454435,374.14716,21.25,96911.0,1.151463
6464546,374.40875,21.25,96907.99,1.1514273
6475986,374.5805,21.25,96906.0,1.1514035
6496463,374.5805,21.24,96906.0,1.1514035
6507695,374.23434,21.24,96910.0,1.1514511
6518436,374.924,21.24,96901.99,1.151356
6539660,374.40875,21.25,96907.99,1.1514273
6550435,374.49332,21.25,96907.0,1.1514155
6561552,374.49332,21.25,96907.0,1.1514155
6583435,373.89087,21.25,96913.99,1.1514986
6594165,374.5805,21.25,96906.0,1.1514035
6604575,373.9754,21.25,96913.0,1.1514868
6626436,373.9754,21.25,96913.0,1.1514868
6637567,374.06262,21.25,96912.0,1.1514748
6648901,374.06262,21.25,96912.0,1.1514748
6670436,373.89087,21.26,96913.99,1.1514986
6681513,373.9754,21.26,96913.0,1.1514868
6692513,373.80365,21.26,96915.0,1.1515105
6714470,374.06262,21.26,96912.0,1.1514748
6724527,374.06262,21.26,96912.0,1.1514748
6735469,373.89087,21.26,96913.99,1.1514986
6757551,374.32156,21.26,96909.0,1.1514392
6767436,373.71646,21.26,96916.0,1.1515224
6778448,374.75226,21.26,96904.0,1.1513798
6800439,374.23434,21.26,96910.0,1.1514511
6810562,374.23434,21.26,96910.0,1.1514511
6822734,374.06262,21.26,96912.0,1.1514748
6844451,374.14716,21.27,96911.0,1.151463
6855510,374.40875,21.27,96907.99,1.1514273
6866435,374.83682,21.27,96903.0,1.1513679
6888435,374.06262,21.27,96912.0,1.1514748
6898556,374.14716,21.27,96911.0,1.151463
6910095,374.5805,21.27,96906.0,1.1514035
6931512,374.66507,21.27,96905.0,1.1513917
6942123,374.5805,21.27,96906.0,1.1514035
6952502,374.06262,21.27,96912.0,1.1514748
6974360,374.5805,21.27,96906.0,1.1514035
6984479,374.14716,21.27,96911.0,1.151463
6994613,373.80365,21.27,96915.0,1.1515105
7018524,373.89087,21.27,96913.99,1.1514986
7030087,374.14716,21.27,96911.0,1.151463
7040449,374.49332,21.27,96907.0,1.1514155
7062069,374.49332,21.27,96907.0,1.1514155
7072435,374.32156,21.27,96909.0,1.1514392
7083437,374.23434,21.27,96910.0,1.1514511
7105513,374.32156,21.279999,96909.0,1.1514392
7116470,373.9754,21.279999,96913.0,1.1514868
7127436,374.06262,21.279999,96912.0,1.1514748
7149557,374.5805,21.279999,96906.0,1.1514035
7160435,373.80365,21.279999,96915.0,1.1515105
7171436,373.62927,21.279999,96917.0,1.1515343
7193580,374.32156,21.279999,96909.0,1.1514392
7204121,374.14716,21.279999,96911.0,1.151463
7215078,374.49332,21.279999,96907.0,1.1514155
7235671,373.9754,21.289999,96913.0,1.1514868
7247181,374.06262,21.289999,96912.0,1.1514748
7257505,374.14716,21.289999,96911.0,1.151463
7279726,374.32156,21.289999,96909.0,1.1514392
7290442,374.06262,21.289999,96912.0,1.1514748
7301484,373.89087,21.289999,96913.99,1.1514986
7322447,374.83682,21.289999,96903.0,1.1513679
7333269,374.14716,21.289999,96911.0,1.151463
7343634,374.23434,21.289999,96910.0,1.1514511
7365508,374.06262,21.289999,96912.0,1.1514748
7375741,374.23434,21.289999,96910.0,1.1514511
7386448,374.23434,21.289999,96910.0,1.1514511
7407671,373.89087,21.3,96913.99,1.1514986
7418436,374.14716,21.3,96911.0,1.151463
7429507,373.9754,21.3,96913.0,1.1514868
7450435,374.14716,21.3,96911.0,1.151463
7461534,374.49332,21.3,96907.0,1.1514155
7472759,373.80365,21.3,96915.0,1.1515105
7494436,373.89087,21.3,96913.99,1.1514986
7504761,373.9754,21.3,96913.0,1.1514868
7515447,373.71646,21.3,96916.0,1.1515224
7536516,374.40875,21.3,96907.99,1.1514273
7547446,374.23434,21.3,96910.0,1.1514511
7558446,374.49332,21.3,96907.0,1.1514155
7579436,374.23434,21.31,96910.0,1.1514511
7589557,374.5805,21.31,96906.0,1.1514035
7600720,374.06262,21.31,96912.0,1.1514748
7622445,373.9754,21.31,96913.0,1.1514868
7633597,373.80365,21.31,96915.0,1.1515105
7645173,373.71646,21.31,96916.0,1.1515224
7666447,373.89087,21.31,96913.99,1.1514986
7677509,373.9754,21.31,96913.0,1.1514868
7688714,374.23434,21.31,96910.0,1.1514511
7710473,373.89087,21.31,96913.99,1.1514986
7721596,374.14716,21.31,96911.0,1.151463
7732502,374.66507,21.31,96905.0,1.1513917
7754435,374.49332,21.32,96907.0,1.1514155
7766307,374.14716,21.32,96911.0,1.151463
7776435,374.40875,21.32,96907.99,1.1514273
7798435,374.14716,21.32,96911.0,1.151463
7809573,374.40875,21.32,96907.99,1.1514273
7820435,373.89087,21.32,96913.99,1.1514986
7841593,374.23434,21.32,96910.0,1.1514511
7852436,374.83682,21.32,96903.0,1.1513679
7863472,374.14716,21.32,96911.0,1.151463
7884470,374.49332,21.32,96907.0,1.1514155
7894651,374.5805,21.32,96906.0,1.1514035
7906350,374.5805,21.32,96906.0,1.1514035
7926619,374.06262,21.32,96912.0,1.1514748
7938102,374.66507,21.32,96905.0,1.1513917
7948439,374.06262,21.32,96912.0,1.1514748
7970088,374.32156,21.32,96909.0,1.1514392
7980435,374.06262,21.32,96912.0,1.1514748
7990847,374.5805,21.32,96906.0,1.1514035
8012444,373.89087,21.33,96913.99,1.1514986
8022944,374.06262,21.33,96912.0,1.1514748
8034117,374.23434,21.33,96910.0,1.1514511
8055435,373.89087,21.33,96913.99,1.1514986
8066856,374.06262,21.33,96912.0,1.1514748
8077546,373.89087,21.33,96913.99,1.1514986
8098947,374.14716,21.33,96911.0,1.151463
8109487,374.40875,21.33,96907.99,1.1514273
8120439,374.40875,21.33,96907.99,1.1514273
8143367,373.89087,21.34,96913.99,1.1514986
8153484,374.23434,21.34,96910.0,1.1514511
8164435,374.23434,21.34,96910.0,1.1514511
8186903,374.5805,21.34,96906.0,1.1514035
8197490,374.32156,21.34,96909.0,1.1514392
8207488,374.32156,21.34,96909.0,1.1514392
8229484,374.32156,21.34,96909.0,1.1514392
8240458,374.40875,21.34,96907.99,1.1514273
8251435,374.32156,21.34,96909.0,1.1514392
8273549,374.5805,21.34,96906.0,1.1514035
8284005,374.75226,21.34,96904.0,1.1513798
8294450,374.32156,21.34,96909.0,1.1514392
8316088,374.14716,21.34,96911.0,1.151463
8326446,374.40875,21.34,96907.99,1.1514273
8336486,374.40875,21.34,96907.99,1.1514273
8358453,374.66507,21.35,96905.0,1.1513917
8368801,374.23434,21.35,96910.0,1.1514511
