timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
3237871,2.2893028,0.04011696,0.83984715
3442911,2.267094,0.03958368,0.8361803
3643710,2.2923348,0.039815165,0.8356507
3848479,2.2714694,0.040368777,0.8376978
4053893,2.2653227,0.037480086,0.83404225
4254483,2.2783692,0.039526045,0.8372312
4456147,2.2797685,0.038727112,0.830651
4656356,2.2828689,0.038005494,0.8399152
4861364,2.2870052,0.03889711,0.83666456
5062100,2.274662,0.04124383,0.8334502
5267264,2.256071,0.040787693,0.8398499
5468742,2.273059,0.041140903,0.83897215
5672525,2.2574017,0.039489444,0.8349245
5873288,2.273644,0.039322466,0.8356299
6078863,2.2967243,0.036598913,0.8346118
6279396,2.2894855,0.036151614,0.8398103
6480464,2.2674727,0.03677992,0.83617276
6684518,2.3323565,0.037841816,0.8277189
6886327,2.2479565,0.0313251,0.8360352
7091947,2.2923985,0.034330945,0.8396422
7292190,2.240419,0.037625976,0.8342423
7496512,2.2851353,0.033343803,0.8277887
7700982,2.2502415,0.03474249,0.8260813
7902500,2.2752762,0.03337743,0.8243258
8103731,2.2510545,0.03455094,0.82689
8304799,2.2646966,0.03733494,0.826973
8508807,2.2825913,0.034863222,0.82895905
8709609,2.2895594,0.034727704,0.8282973
8914753,2.2955222,0.036113046,0.8249646
9115726,2.306342,0.033967383,0.82856923
9319943,2.3118427,0.031383384,0.83566123
9520779,2.2780545,0.037083212,0.83042145
9721571,2.2291088,0.03516962,0.8296615
9923281,2.253237,0.036460962,0.8271781
10124053,2.2192469,0.037355937,0.8301019
10329671,2.3003743,0.0360345,0.8298824
10529748,2.2463386,0.039489582,0.8344064
10731209,2.2475436,0.04289566,0.8297474
10932039,2.2200067,0.03923352,0.8332886
11132219,2.2869313,0.039260186,0.83772445
11333238,2.2542396,0.04158666,0.83156496
11534461,2.2384284,0.039214466,0.8320177
11735203,2.2894053,0.03932038,0.8346058
11936050,2.240788,0.035827115,0.83404714
12136528,2.2968984,0.03375487,0.8351348
12340743,2.2633152,0.033373605,0.8343487
12541570,2.2929301,0.032382693,0.83252954
12746884,2.2964027,0.030210614,0.83486086
12947661,2.262399,0.038554497,0.8249404
13149103,2.2729363,0.039820764,0.8247717
13349949,2.2512794,0.035200756,0.83261216
13550688,2.272794,0.032631576,0.8289039
13755150,2.2895284,0.03850859,0.82855433
13956058,2.270444,0.03878148,0.83062595
14161101,2.2416356,0.034859203,0.8292383
14361784,2.3015957,0.03633915,0.8323542
14566478,2.2381234,0.038569868,0.8368827
14767143,2.3159893,0.03892457,0.8321815
14968026,2.2829986,0.03722695,0.8364501
15173004,2.3234944,0.03521683,0.8342203
15374153,2.3160462,0.039873026,0.8387608
15578388,2.2867994,0.03440116,0.83188504
15779169,2.3003027,0.032852247,0.83944505
15984298,2.3026958,0.033827607,0.8418985
16185079,2.2886143,0.038455177,0.83259976
16386728,2.2529085,0.03571035,0.8390689
16587478,2.3024218,0.03357406,0.83463156
16792050,2.2766907,0.037625574,0.8385385
16992901,2.3718503,0.034255404,0.82777435
17193545,2.3005133,0.03135473,0.83734065
17394355,2.3144183,0.03673664,0.8377079
17595231,2.3185902,0.032904897,0.8316078
17800193,2.2309065,0.032062083,0.8311028
18001281,2.264457,0.035339493,0.830991
18201713,2.3368893,0.038309705,0.83096427
18406465,2.2927551,0.040811997,0.828583
18607169,2.251066,0.039421543,0.8337453
18812702,2.325025,0.039438263,0.8326681
19013299,2.2675126,0.035212964,0.82924366
19214068,2.3056808,0.042267423,0.82684577
19414852,2.324991,0.038068034,0.8288366
19615458,2.342957,0.03831163,0.834321
19820793,2.2738264,0.04204347,0.83161247
20020794,2.2718275,0.03722946,0.83480525
20222358,2.2841458,0.036578175,0.8262519
20423252,2.3038657,0.03409741,0.83304507
20623945,2.3082356,0.029820692,0.836766
20829029,2.3003998,0.029464774,0.83822674
21029797,2.278884,0.031362824,0.83797824
21234376,2.290811,0.03434972,0.8373365
21435207,2.2951665,0.038117178,0.84353775
21640168,2.2919784,0.034652367,0.83620864
21841310,2.3108048,0.032286927,0.84247977
22041793,2.2801707,0.031555552,0.8358793
22246452,2.310674,0.034154765,0.84159607
22447216,2.259988,0.03647201,0.8423043
22652308,2.2904704,0.031121442,0.8367687
22853499,2.2865582,0.033080127,0.8320862
23058385,2.3160477,0.033008713,0.83651716
23258367,2.3202965,0.032008708,0.83477837
23459262,2.3277855,0.033566806,0.83095956
23660855,2.2985091,0.037192676,0.8398175
23861562,2.3088045,0.0351479,0.83381206
24066776,2.3041131,0.038316213,0.8349022
24267464,2.2653897,0.04032359,0.83458614
24472072,2.2652595,0.040593334,0.8347512
24673209,2.3470178,0.043479975,0.83135045
24877830,2.3595426,0.043153167,0.83442515
25078871,2.3444953,0.0380834,0.82590383
25283255,2.3283415,0.03549552,0.8291035
25483998,2.2596147,0.0383169,0.8358121
25684872,2.250211,0.037209217,0.83294284
25890004,2.2734053,0.03634364,0.83939505
26090608,2.285256,0.039603647,0.83506054
26295261,2.294822,0.042988185,0.8366819
26496068,2.3640327,0.036584314,0.83463377
26701776,2.3552332,0.03474405,0.83505845
26901765,2.3312712,0.035503685,0.8403549
27106378,2.2338297,0.03441271,0.83786017
27311469,2.2406201,0.033638246,0.8319012
27512260,2.270603,0.032577045,0.84087306
27713841,2.2707903,0.034817964,0.84400916
27914792,2.250776,0.04127063,0.8409586
28119248,2.291123,0.035423376,0.8404656
28320013,2.3664703,0.036377046,0.8402653
28525043,2.3250852,0.03155273,0.84068036
28726075,2.2881565,0.031024585,0.8405361
28930402,2.2761343,0.036492817,0.83773696
29131229,2.2909155,0.033819694,0.8367604
29331988,2.3163218,0.03837175,0.83951724
29538400,2.2901886,0.037956517,0.8343166
29739257,2.222177,0.03733275,0.8399795
29942371,2.27233,0.033983056,0.8352798
30143262,2.3009768,0.040062666,0.83576715
30348212,2.3247397,0.03887958,0.838501
30549092,2.2355833,0.031813942,0.8340802
30750818,2.2738042,0.03579142,0.83125913
30954365,2.3006284,0.03441958,0.8275021
31155246,2.39579,0.037238743,0.83575594
31360219,2.283352,0.042148706,0.8278603
31562038,2.2856872,0.04078861,0.8377822
31766445,2.308816,0.036546327,0.8413867
31967195,2.3797543,0.03842861,0.8394916
32172248,2.2943466,0.039621893,0.8405106
32373049,2.3456793,0.035544243,0.83280456
32577523,2.243168,0.034231145,0.84453744
32778328,2.2879531,0.03882858,0.841166
32983711,2.3355553,0.038575023,0.83712375
33184527,2.3339248,0.039085053,0.8370342
33385211,2.3665266,0.04079033,0.8403305
33589618,2.271852,0.03860924,0.83515173
33790411,2.2592013,0.03378808,0.843159
33991192,2.2763999,0.036536418,0.8354834
34192106,2.2736962,0.036305565,0.8410089
34397533,2.3001502,0.037482142,0.84460795
34597862,2.244924,0.03885719,0.8348607
34798595,2.2976873,0.032903705,0.83362126
35003241,2.2841778,0.035149217,0.8364729
35204009,2.2732446,0.035265796,0.8354767
35409519,2.245931,0.033461645,0.83333594
35609780,2.2781217,0.034602623,0.83373016
35810586,2.2760358,0.032387074,0.83924466
36015183,2.2476847,0.03698292,0.8340037
36216716,2.26812,0.033769734,0.83670366
36421773,2.3218422,0.036047366,0.82954746
36622695,2.3110309,0.039921626,0.8342916
36827206,2.283131,0.033834223,0.8314714
37028004,2.2912424,0.035128713,0.83463943
37233143,2.308048,0.036168203,0.8269808
37433835,2.2638352,0.038373444,0.8334306
37634599,2.3143342,0.035857588,0.8352246
37835938,2.307583,0.03528631,0.8323485
38036741,2.300188,0.039696064,0.8380315
38240769,2.2924974,0.0354112,0.83618987
