timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
108816898,45.3835041389,-71.9274079861,233.161,-653.766,12.4969,-54.2112,-1.38262,1,1,0
108928966,45.3834950952,-71.9274083444,233.203,-654.772,12.4689,-54.2532,-1.38351,1,1,0
109029535,45.3834869939,-71.9274085211,233.251,-655.673,12.4551,-54.3013,-1.38538,1,1,0
109141651,45.3834780512,-71.9274087817,233.283,-656.667,12.4347,-54.3332,-1.38717,1,1,0
109243192,45.3834699538,-71.9274090013,233.314,-657.567,12.4176,-54.364,-1.38679,1,1,0
109350509,45.3834613536,-71.927409394,233.349,-658.524,12.3869,-54.3987,-1.38784,1,1,0
109459296,45.3834526359,-71.9274095036,233.373,-659.493,12.3784,-54.4231,-1.3902,1,1,0
109566902,45.3834439523,-71.9274097074,233.402,-660.459,12.3625,-54.4525,-1.389,1,1,0
109676207,45.383435143,-71.9274100495,233.445,-661.438,12.3357,-54.495,-1.38995,1,1,0
109783699,45.3834263243,-71.9274103381,233.483,-662.419,12.3132,-54.5334,-1.39318,1,1,0
109888740,45.3834177411,-71.9274105384,233.52,-663.373,12.2976,-54.5702,-1.39194,1,1,0
109992338,45.3834091826,-71.9274108508,233.561,-664.325,12.2732,-54.6113,-1.39607,1,1,0
110102604,45.3834002009,-71.9274111728,233.61,-665.324,12.248,-54.6597,-1.39336,1,1,0
110203644,45.3833919603,-71.9274113101,233.651,-666.24,12.2373,-54.7017,-1.39725,1,1,0
110304571,45.3833836642,-71.9274114199,233.689,-667.162,12.2287,-54.7395,-1.3976,1,1,0
110402733,45.3833753708,-71.9274114744,233.728,-668.085,12.2245,-54.7786,-1.39704,1,1,0
110510949,45.3833664692,-71.927411529,233.765,-669.074,12.2202,-54.8152,-1.39761,1,1,0
110607475,45.3833585173,-71.9274115132,233.79,-669.959,12.2214,-54.8407,-1.39954,1,1,0
110711563,45.3833498073,-71.9274115223,233.811,-670.927,12.2207,-54.8608,-1.39968,1,1,0
110807750,45.3833418394,-71.9274115199,233.829,-671.813,12.2209,-54.8793,-1.40049,1,1,0
110913917,45.3833331371,-71.9274115183,233.85,-672.781,12.221,-54.9,-1.40196,1,1,0
111008418,45.3833250996,-71.9274115253,233.861,-673.674,12.2205,-54.9113,-1.40152,1,1,0
111109677,45.3833166459,-71.9274116396,233.88,-674.615,12.2116,-54.93,-1.39919,1,1,0
111210664,45.3833082203,-71.927411744,233.9,-675.551,12.2034,-54.95,-1.39983,1,1,0
111312504,45.3832997117,-71.927411815,233.919,-676.497,12.1979,-54.9688,-1.40121,1,1,0
111415546,45.3832909161,-71.927411909,233.943,-677.476,12.1905,-54.993,-1.40207,1,1,0
111518738,45.3832820404,-71.9274119922,233.964,-678.462,12.184,-55.0141,-1.40268,1,1,0
111614727,45.3832739161,-71.9274120661,233.991,-679.366,12.1783,-55.0415,-1.40248,1,1,0
111711515,45.3832657028,-71.9274121127,234.015,-680.279,12.1746,-55.0655,-1.4031,1,1,0
111807716,45.3832575467,-71.9274122136,234.041,-681.186,12.1668,-55.0912,-1.40325,1,1,0
111912751,45.3832486572,-71.927412313,234.066,-682.174,12.159,-55.1163,-1.4039,1,1,0
112013702,45.3832401383,-71.9274123139,234.09,-683.122,12.1589,-55.1405,-1.40513,1,1,0
112114646,45.3832315534,-71.9274122776,234.112,-684.076,12.1618,-55.1621,-1.40584,1,1,0
112214507,45.3832230751,-71.9274122719,234.138,-685.019,12.1622,-55.1882,-1.40673,1,1,0
