timestamp,load,ram_usage
4323932,0.397111,0.860744
5324570,0.435949,0.862438
6325737,0.435281,0.860812
7326607,0.455439,0.862845
8326766,0.443896,0.850376
9326435,0.487887,0.850173
10327617,0.478653,0.850173
11330677,0.495238,0.851799
12330593,0.486722,0.851799
13331503,0.485538,0.853561
14332523,0.464478,0.853697
15334795,0.466625,0.853697
16335571,0.463582,0.853697
17335437,0.457716,0.853697
18336768,0.464353,0.853697
19336435,0.467522,0.853697
20336513,0.462077,0.853697
21336692,0.469361,0.853697
22337627,0.46829,0.853697
23339355,0.462218,0.854103
24339944,0.465768,0.854374
25340470,0.471065,0.854374
26341581,0.467901,0.854374
27342642,0.469455,0.854374
28342435,0.469638,0.854374
29344880,0.471124,0.854374
30345561,0.46096,0.854374
31345564,0.467875,0.854374
32345686,0.470899,0.854374
33346606,0.465798,0.854374
34346552,0.472003,0.854374
35347435,0.468058,0.854374
36349646,0.46919,0.854374
37350435,0.460745,0.854374
38351537,0.467156,0.854374
39351435,0.469116,0.854374
40352542,0.462583,0.854374
41354537,0.464424,0.854374
42354435,0.463934,0.854374
43354845,0.462209,0.854374
44355524,0.462702,0.854374
45356503,0.465,0.854374
46358435,0.465799,0.854374
47358846,0.46496,0.854374
48358883,0.469133,0.854374
49358530,0.463777,0.854374
50360009,0.463264,0.854374
51360833,0.466042,0.854374
52362647,0.468879,0.854374
53362769,0.470665,0.854374
54363163,0.466969,0.854374
55363435,0.469744,0.854374
56363435,0.468643,0.854374
57363435,0.461884,0.854374
58363435,0.469227,0.854374
59363490,0.468546,0.854374
60364859,0.471465,0.854374
61366778,0.469772,0.854374
62367253,0.468494,0.854374
63367894,0.45612,0.854374
64368809,0.461943,0.854374
65371540,0.470176,0.854374
66372435,0.469863,0.854374
67375387,0.466217,0.854374
68375669,0.473457,0.854374
69376435,0.469383,0.854374
70378837,0.463878,0.854374
71379503,0.464376,0.854374
72379516,0.468229,0.854374
73379435,0.468951,0.854374
74380691,0.467078,0.854374
75382668,0.472024,0.854374
76382655,0.471501,0.854374
77383435,0.460466,0.854374
78384435,0.469604,0.854374
79387635,0.467837,0.854374
80387664,0.469383,0.854374
81389952,0.469783,0.854374
82390435,0.472218,0.854374
83391435,0.469911,0.854374
84392435,0.459527,0.854374
85394318,0.470245,0.854374
86394439,0.470211,0.854374
87394534,0.470047,0.854374
88394509,0.4715,0.854374
89395577,0.469518,0.854374
90398851,0.459749,0.854374
91398435,0.457284,0.854374
92398438,0.471611,0.854374
93398503,0.470143,0.854374
94398492,0.469991,0.854374
95398509,0.470416,0.854374
96399471,0.465731,0.854374
97400698,0.463629,0.854374
98401507,0.486162,0.85512
99402435,0.519581,0.858033
100404822,0.523663,0.858508
101405578,0.525739,0.858508
102405525,0.528171,0.858508
103407750,0.52457,0.858508
104408526,0.514637,0.858508
105409564,0.512741,0.858508
106411121,0.522906,0.858508
107411721,0.530206,0.858508
108411483,0.525167,0.858508
109412472,0.529121,0.858508
110412822,0.519603,0.858508
111415740,0.518272,0.858508
112416435,0.520286,0.858508
113418502,0.525464,0.858508
114419692,0.524103,0.858508
115421609,0.523685,0.858508
116422435,0.525128,0.858508
117423435,0.516119,0.858508
119425126,0.515247,0.858508
120424843,0.524993,0.858508
121425583,0.520023,0.858508
122425484,0.519875,0.858508
123427914,0.509024,0.858508
124428525,0.48059,0.858508
125430733,0.490873,0.858508
126431484,0.494826,0.858508
127432491,0.492847,0.858508
128434593,0.493483,0.858508
129435470,0.490902,0.858508
130437026,0.494023,0.858508
131437507,0.486505,0.858508
132438086,0.497679,0.858508
133438435,0.493915,0.858508
134440103,0.495061,0.858508
135440435,0.497027,0.858508
136441472,0.492133,0.858508
137443575,0.488509,0.858508
138443553,0.489124,0.858508
139443435,0.495418,0.858508
140444731,0.489358,0.858508
141444475,0.493503,0.858508
142446724,0.492482,0.858508
143446693,0.494769,0.858508
144446607,0.513995,0.858508
145446435,0.519191,0.858508
146447505,0.522197,0.858508
147448550,0.493597,0.858508
148449618,0.491647,0.858508
149452229,0.494717,0.858508
150452462,0.489574,0.858508
151452435,0.508511,0.858508
152452509,0.524062,0.858508
153454918,0.520276,0.858508
154455478,0.490265,0.858508
155457250,0.491441,0.858508
156457645,0.491482,0.858508
157457569,0.489143,0.858508
158457567,0.493054,0.858508
159457565,0.513675,0.858508
160460116,0.523985,0.858508
161460029,0.50362,0.858508
162460523,0.491533,0.858508
163462441,0.49345,0.858508
164462576,0.487878,0.858508
165463569,0.521897,0.858508
167467435,0.510468,0.858508
168467995,0.521612,0.858508
169468435,0.5236,0.858508
170468435,0.524426,0.858508
171470635,0.515198,0.858508
172471435,0.494732,0.858508
173471639,0.491619,0.858508
174474435,0.492378,0.858508
175474580,0.489831,0.858508
176475950,0.497345,0.858508
177476180,0.488334,0.858508
178475460,0.485812,0.858508
179475475,0.493015,0.858508
180476516,0.511204,0.858508
181478728,0.51013,0.858508
182479640,0.491864,0.858508
183482578,0.492223,0.858508
184483590,0.484817,0.858508
185484486,0.489166,0.858508
186484704,0.49377,0.858508
187484915,0.491662,0.858508
188486386,0.494531,0.858508
189487503,0.490533,0.858508
190488291,0.48888,0.858508
191489722,0.48064,0.858508
192490520,0.485961,0.858508
193491607,0.491311,0.858508
194492435,0.488226,0.858508
195493883,0.489836,0.858508
196494114,0.488515,0.858508
197495435,0.492137,0.858508
198497052,0.483859,0.858508
199497233,0.49087,0.858508
200499258,0.503309,0.858508
201500435,0.52045,0.858508
202503330,0.522823,0.858508
203505213,0.522535,0.858508
204506870,0.519757,0.858508
205510700,0.515249,0.858508
206512094,0.519997,0.858508
207512446,0.524085,0.858508
208513581,0.518605,0.858508
209514062,0.520008,0.858508
210514553,0.52317,0.858508
211514662,0.516881,0.858508
212516884,0.517152,0.858508
213516696,0.522702,0.858508
214519409,0.519059,0.858508
215520435,0.521489,0.858508
216525865,0.5233,0.858508
217526070,0.518493,0.858508
218525687,0.514379,0.858508
219528344,0.520848,0.858508
220528435,0.524671,0.858508
221528435,0.50089,0.858508
222529533,0.49265,0.858508
223530435,0.494505,0.858508
224532794,0.489809,0.858508
225533582,0.483244,0.858508
226534850,0.494555,0.858508
227534556,0.494606,0.858508
228535435,0.487843,0.858508
229537013,0.492615,0.858508
230537171,0.49329,0.858508
231537528,0.485136,0.858508
232539205,0.486176,0.858508
233539435,0.493324,0.858508
234539478,0.495059,0.858508
235540918,0.493444,0.858508
236541500,0.493579,0.858508
237543258,0.4953,0.858508
238543970,0.486846,0.858508
239543609,0.495373,0.858508
240547574,0.490968,0.858508
241550435,0.494151,0.858508
242551593,0.496994,0.858508
243551484,0.49298,0.858508
244552130,0.491669,0.858508
245553592,0.486854,0.858508
246553534,0.489146,0.858508
247556865,0.512249,0.858508
249558827,0.51627,0.858508
250559435,0.530208,0.858508
251559435,0.496573,0.858508
252560440,0.484463,0.858508
253560978,0.49364,0.858508
254562111,0.492014,0.858508
255562435,0.494803,0.858508
256564546,0.496799,0.858508
257564553,0.489915,0.858508
258567411,0.488036,0.858508
259567557,0.486928,0.858508
260569575,0.497813,0.858508
261569483,0.494486,0.858508
262572064,0.493848,0.858508
263572435,0.495225,0.858508
264574394,0.490561,0.858508
265574510,0.485339,0.858508
266576207,0.494065,0.858508
267578929,0.492632,0.858508
268579550,0.49395,0.858508
269581335,0.490212,0.858508
270582435,0.49712,0.858508
271584146,0.491566,0.858508
272584435,0.485449,0.858508
273586011,0.49478,0.858508
274585567,0.498618,0.858508
275585525,0.520954,0.858508
276588152,0.522802,0.858508
277587474,0.524686,0.858508
278589740,0.518487,0.858508
279589575,0.520788,0.858508
280589696,0.508224,0.858508
281590529,0.495398,0.858508
282591435,0.490281,0.858508
283593033,0.495043,0.858508
284593117,0.491425,0.858508
285595180,0.483151,0.858508
286594607,0.49278,0.858508
287595435,0.486941,0.858508
288596824,0.496069,0.858508
289597504,0.493017,0.858508
290598800,0.491349,0.858508
291599572,0.495885,0.858508
292600777,0.485252,0.858508
293601551,0.492179,0.858508
294603399,0.489908,0.858508
295603493,0.486879,0.858508
297605483,0.493525,0.858508
298607731,0.486263,0.858508
299609748,0.483485,0.858508
300609841,0.488397,0.858508
301610767,0.489508,0.858508
